Time (BJD_TBD - 2450000), L_b/L_star (ppm)
7.275523552355235552e+03,8.720680964725605122e+01
7.275526552655265732e+03,8.407228281704793460e+01
7.275529552955295912e+03,8.098870130534677969e+01
7.275532553255325183e+03,7.795654518520180432e+01
7.275535553555355364e+03,7.497628652067146504e+01
7.275538553855385544e+03,7.204838929884080301e+01
7.275541554155415724e+03,6.917330935390494062e+01
7.275544554455445905e+03,6.635149429711320579e+01
7.275547554755475176e+03,6.358338344792082353e+01
7.275550555055505356e+03,6.086940776225303296e+01
7.275553555355535536e+03,5.820998977044428102e+01
7.275556555655565717e+03,5.560554350807908008e+01
7.275559555955595897e+03,5.305647445238659543e+01
7.275562556255625168e+03,5.056317945986135953e+01
7.275565556555655348e+03,4.812604670146090058e+01
7.275568556855685529e+03,4.574545560672018496e+01
7.275571557155715709e+03,4.342177680162639319e+01
7.275574557455745889e+03,4.115537205170235069e+01
7.275577557755775160e+03,3.894659420631991509e+01
7.275580558055805341e+03,3.679578714112039961e+01
7.275583558355835521e+03,3.470328570849709848e+01
7.275586558655865701e+03,3.266941568275838392e+01
7.275589558955895882e+03,3.069449371009396899e+01
7.275592559255925153e+03,2.877882725984203915e+01
7.275595559555955333e+03,2.692271457432902793e+01
7.275598559855985513e+03,2.512644462590436589e+01
7.275601560156015694e+03,2.339029706962359612e+01
7.275604560456045874e+03,2.171454220029304238e+01
7.275607560756076055e+03,2.009944091039421821e+01
7.275610561056105325e+03,1.854524464991956023e+01
7.275613561356135506e+03,1.705219538536598023e+01
7.275616561656165686e+03,1.562052556488879951e+01
7.275619561956195867e+03,1.425045808021143934e+01
7.275622562256226047e+03,1.294220623240112467e+01
7.275625562556255318e+03,1.169597369902840711e+01
7.275628562856285498e+03,1.051195450097235984e+01
7.275631563156315678e+03,9.390332974473047045e+00
7.275634563456345859e+03,8.331283740904604329e+00
7.275637563756376039e+03,7.334971679978796288e+00
7.275640564056405310e+03,6.401551904348808719e+00
7.275643564356435490e+03,5.531169734343324151e+00
7.275646564656465671e+03,4.723960677044814815e+00
7.275649564956495851e+03,3.980050404037739131e+00
7.275652565256526032e+03,3.299554732140455471e+00
7.275655565556555302e+03,2.682579605547236401e+00
7.275658565856585483e+03,2.129221078606545081e+00
7.275661566156615663e+03,1.639565301990643764e+00
7.275664566456645844e+03,1.213688508513526054e+00
7.275667566756676024e+03,8.516570014594062599e-01
7.275670567056705295e+03,5.535271443420324289e-01
7.275673567356735475e+03,3.193453517873737768e-01
7.275676567656765656e+03,1.491480828481304699e-01
7.275679567956795836e+03,4.296183494858508284e-02
7.275682568256826016e+03,8.031398581574292553e-04
7.275685568556855287e+03,2.267856110213363127e-02
7.275688568856885468e+03,1.085846929849188514e-01
7.275691569156915648e+03,2.585081610811963970e-01
7.275694569456945828e+03,4.724256243249981280e-01
7.275697569756976009e+03,7.503037786461812519e-01
7.275700570057005280e+03,1.092099362042802113e+00
7.275703570357035460e+03,1.497759161750641832e+00
7.275706570657065640e+03,1.967220021903937521e+00
7.275709570957095821e+03,2.500408853766112660e+00
7.275712571257126001e+03,3.097242647012100392e+00
7.275715571557155272e+03,3.757628482443593043e+00
7.275718571857185452e+03,4.481463547274472603e+00
7.275721572157215633e+03,5.268635149936412354e+00
7.275724572457245813e+03,6.119020738406605986e+00
7.275727572757275993e+03,7.032487919094617013e+00
7.275730573057306174e+03,8.008894477453925020e+00
7.275733573357335445e+03,9.048088399800667148e+00
7.275736573657365625e+03,1.014990789825944439e+01
7.275739573957395805e+03,1.131418143405682564e+01
7.275742574257425986e+03,1.254072774547346825e+01
7.275745574557456166e+03,1.382935587575850889e+01
7.275748574857485437e+03,1.517986520243682413e+01
7.275751575157515617e+03,1.659204547020143039e+01
7.275754575457545798e+03,1.806567682119173668e+01
7.275757575757575978e+03,1.960052983083950906e+01
7.275760576057606158e+03,2.119636554319182764e+01
7.275763576357635429e+03,2.285293550759235259e+01
7.275766576657665610e+03,2.456998181940032921e+01
7.275769576957695790e+03,2.634723715712156178e+01
7.275772577257725970e+03,2.818442482602167942e+01
7.275775577557756151e+03,3.008125880070453206e+01
7.275778577857785422e+03,3.203744376905074631e+01
7.275781578157815602e+03,3.405267518057831211e+01
7.275784578457845782e+03,3.612663929028948218e+01
7.275787578757875963e+03,3.825901320989094501e+01
7.275790579057906143e+03,4.044946495746123816e+01
7.275793579357935414e+03,4.269765350845910490e+01
7.275796579657965594e+03,4.500322885154447761e+01
7.275799579957995775e+03,4.736583203899528627e+01
7.275802580258025955e+03,4.978509524529691532e+01
7.275805580558056135e+03,5.226064182372973477e+01
7.275808580858085406e+03,5.479208636423089729e+01
7.275811581158115587e+03,5.737903475649484619e+01
7.275814581458145767e+03,6.002108424671695275e+01
7.275817581758175947e+03,6.271782350334716938e+01
7.275820582058206128e+03,6.546883268038382653e+01
7.275823582358235399e+03,6.827368348186368507e+01
7.275826582658265579e+03,7.113193923197252388e+01
7.275829582958295759e+03,7.404315493791351344e+01
7.275832583258325940e+03,7.700687736258397820e+01
7.275835583558356120e+03,8.002264509429539885e+01
7.275838583858385391e+03,8.308998861766494315e+01
7.275841584158415571e+03,8.620843039044339662e+01
7.275844584458445752e+03,8.937748491230259162e+01
7.275847584758475932e+03,9.259665880410291550e+01
7.275850585058506113e+03,9.586545088380457003e+01
7.275853585358536293e+03,9.918335224446508391e+01
7.275856585658565564e+03,1.025498463324775003e+02
7.275859585958595744e+03,1.059644090320664560e+02
7.275862586258625925e+03,1.094265087407588339e+02
7.275865586558656105e+03,1.129356064562292516e+02
7.275868586858686285e+03,1.164911558591911955e+02
7.275871587158715556e+03,1.200926033973658349e+02
7.275874587458745737e+03,1.237393883760182973e+02
7.275877587758775917e+03,1.274309430387324085e+02
7.275880588058806097e+03,1.311666926601307637e+02
7.275883588358836278e+03,1.349460556342799293e+02
7.275886588658865548e+03,1.387684435640613003e+02
7.275889588958895729e+03,1.426332613574409436e+02
7.275892589258925909e+03,1.465399073131613363e+02
7.275895589558956090e+03,1.504877732190143149e+02
7.275898589858986270e+03,1.544762444454226511e+02
7.275901590159015541e+03,1.585047000398673447e+02
7.275904590459045721e+03,1.625725128284801144e+02
7.275907590759075902e+03,1.666790495063382025e+02
7.275910591059106082e+03,1.708236707409517408e+02
7.275913591359136262e+03,1.750057312705828281e+02
