Time (BJD_TBD - 2450000), L_g/L_star (ppm)
1.061387326262023271e+04,3.579578320823554805e+01
1.061387327857553100e+04,3.579560061928047787e+01
1.061387329453083112e+04,3.579541802959163732e+01
1.061387331048612941e+04,3.579523543921065709e+01
1.061387332644142953e+04,3.579505284809591359e+01
1.061387334239672782e+04,3.579487025628904462e+01
1.061387335835202794e+04,3.579468766374844790e+01
1.061387337430732623e+04,3.579450507051576835e+01
1.061387339026262634e+04,3.579432247654937527e+01
1.061387340621792464e+04,3.579413988189091356e+01
1.061387342217322475e+04,3.579395728649875963e+01
1.061387343812852305e+04,3.579377469041455839e+01
1.061387345408382316e+04,3.579359209359670757e+01
1.061387347003912146e+04,3.579340949608683786e+01
1.061387348599442157e+04,3.579322689784331857e+01
1.061387350194971987e+04,3.579304429890780170e+01
1.061387351790501998e+04,3.579286169923867078e+01
1.061387353386031828e+04,3.579267909887757781e+01
1.061387354981561839e+04,3.579249649778288500e+01
1.061387356577091668e+04,3.579231389599625146e+01
1.061387358172621680e+04,3.579213129347603228e+01
1.061387359768151509e+04,3.579194869026392212e+01
1.061387361363681521e+04,3.579176608631825474e+01
1.061387362959211350e+04,3.579158348168068216e+01
1.061387364554741362e+04,3.579140087630958078e+01
1.061387366150271191e+04,3.579121827024662394e+01
1.061387367745801203e+04,3.579103566345016674e+01
1.061387369341331032e+04,3.579085305596186828e+01
1.061387370936861043e+04,3.579067044774007655e+01
1.061387372532390873e+04,3.579048783882647200e+01
1.061387374127920884e+04,3.579030522917941681e+01
1.061387375723450896e+04,3.579012261881975121e+01
1.061387377318980725e+04,3.578994000776828699e+01
1.061387378914510737e+04,3.578975739598341477e+01
1.061387380510040566e+04,3.578957478350675814e+01
1.061387382105570578e+04,3.578939217029674325e+01
1.061387383701100407e+04,3.578920955639497237e+01
1.061387385296630418e+04,3.578902694175984323e+01
1.061387386892160248e+04,3.578884432643299363e+01
1.061387388487690259e+04,3.578866171037279997e+01
1.061387390083220089e+04,3.578847909362092139e+01
1.061387391678750100e+04,3.578829647613572007e+01
1.061387393274279930e+04,3.578811385795884803e+01
1.061387394869809941e+04,3.578793123904868168e+01
1.061387396465339771e+04,3.578774861944689434e+01
1.061387398060869782e+04,3.578756599911180558e+01
1.061387399656399612e+04,3.578738337808511005e+01
1.061387401251929623e+04,3.578720075632516995e+01
1.061387402847459452e+04,3.578701813387363018e+01
1.061387404442989464e+04,3.578683551068888136e+01
1.061387406038519293e+04,3.578665288681255419e+01
1.061387407634049305e+04,3.578647026220302507e+01
1.061387409229579134e+04,3.578628763690195314e+01
1.061387410825109146e+04,3.578610501086770768e+01
1.061387412420638975e+04,3.578592238414194071e+01
1.061387414016168987e+04,3.578573975668302865e+01
1.061387415611698816e+04,3.578555712853260928e+01
1.061387417207228827e+04,3.578537449964905193e+01
1.061387418802758657e+04,3.578519187007405122e+01
1.061387420398288668e+04,3.578500923976592674e+01
1.061387421993818498e+04,3.578482660876635890e+01
1.061387423589348509e+04,3.578464397703371702e+01
1.061387425184878521e+04,3.578446134458882000e+01
1.061387426780408350e+04,3.578427871145251515e+01
1.061387428375938362e+04,3.578409607758317179e+01
1.061387429971468191e+04,3.578391344302242771e+01
1.061387431566998202e+04,3.578373080772867354e+01
1.061387433162528032e+04,3.578354817174355418e+01
1.061387434758058043e+04,3.578336553502543183e+01
1.061387436353587873e+04,3.578318289761597981e+01
1.061387437949117884e+04,3.578300025947353191e+01
1.061387439544647714e+04,3.578281762063980409e+01
1.061387441140177725e+04,3.578263498107310880e+01
1.061387442735707555e+04,3.578245234081513360e+01
1.061387444331237566e+04,3.578226969982421934e+01
1.061387445926767396e+04,3.578208705814203938e+01
1.061387447522297407e+04,3.578190441572696301e+01
1.061387449117827236e+04,3.578172177262064935e+01
1.061387450713357248e+04,3.578153912878145348e+01
