Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.062595296175226940e+04,2.412650944336049097e+00
1.062595298043006187e+04,2.412600814064550736e+00
1.062595299910785616e+04,2.412550684261809408e+00
1.062595301778565045e+04,2.412500554932719421e+00
1.062595303646344291e+04,2.412450426082148436e+00
1.062595305514123720e+04,2.412400297700347362e+00
1.062595307381903149e+04,2.412350169792196297e+00
1.062595309249682396e+04,2.412300042362578001e+00
1.062595311117461824e+04,2.412249915401731837e+00
1.062595312985241253e+04,2.412199788914537013e+00
1.062595314853020682e+04,2.412149662901005076e+00
1.062595316720799929e+04,2.412099537366011237e+00
1.062595318588579357e+04,2.412049412299798412e+00
1.062595320456358786e+04,2.411999287707250250e+00
1.062595322324138033e+04,2.411949163593246404e+00
1.062595324191917462e+04,2.411899039948030676e+00
1.062595326059696890e+04,2.411848916776479168e+00
1.062595327927476137e+04,2.411798794083483077e+00
1.062595329795255566e+04,2.411748671859281767e+00
1.062595331663034995e+04,2.411698550108752670e+00
1.062595333530814241e+04,2.411648428836782543e+00
1.062595335398593670e+04,2.411598308033611637e+00
1.062595337266373099e+04,2.411548187704119606e+00
1.062595339134152346e+04,2.411498067853192762e+00
1.062595341001931774e+04,2.411447948471065139e+00
1.062595342869711203e+04,2.411397829562629269e+00
1.062595344737490450e+04,2.411347711132762139e+00
1.062595346605269879e+04,2.411297593171705778e+00
1.062595348473049307e+04,2.411247475684342501e+00
1.062595350340828554e+04,2.411197358675552405e+00
1.062595352208607983e+04,2.411147242135579294e+00
1.062595354076387412e+04,2.411097126069301488e+00
1.062595355944166658e+04,2.411047010481608410e+00
1.062595357811946087e+04,2.410996895362736758e+00
1.062595359679725516e+04,2.410946780717571958e+00
1.062595361547504945e+04,2.410896666546108236e+00
1.062595363415284191e+04,2.410846552853239011e+00
1.062595365283063620e+04,2.410796439629197874e+00
1.062595367150843049e+04,2.410746326878866697e+00
1.062595369018622296e+04,2.410696214607131349e+00
1.062595370886401724e+04,2.410646102804232083e+00
1.062595372754181153e+04,2.410595991475052102e+00
1.062595374621960400e+04,2.410545880624471504e+00
1.062595376489739829e+04,2.410495770242730096e+00
1.062595378357519257e+04,2.410445660334715967e+00
1.062595380225298504e+04,2.410395550905307882e+00
1.062595382093077933e+04,2.410345441944748757e+00
1.062595383960857362e+04,2.410295333457918687e+00
1.062595385828636608e+04,2.410245225449700435e+00
1.062595387696416037e+04,2.410195117910336027e+00
1.062595389564195466e+04,2.410145010844704228e+00
1.062595391431974713e+04,2.410094904257692683e+00
1.062595393299754141e+04,2.410044798139542532e+00
1.062595395167533570e+04,2.409994692495132984e+00
1.062595397035312817e+04,2.409944587329347243e+00
1.062595398903092246e+04,2.409894482632427781e+00
1.062595400770871674e+04,2.409844378409255139e+00
1.062595402638651103e+04,2.409794274659829316e+00
1.062595404506430350e+04,2.409744171389038403e+00
1.062595406374209779e+04,2.409694068587120430e+00
1.062595408241989207e+04,2.409643966258959047e+00
1.062595410109768454e+04,2.409593864409432129e+00
1.062595411977547883e+04,2.409543763028783481e+00
1.062595413845327312e+04,2.409493662121902524e+00
1.062595415713106559e+04,2.409443561693660918e+00
1.062595417580885987e+04,2.409393461734302466e+00
1.062595419448665416e+04,2.409343362248713039e+00
1.062595421316444663e+04,2.409293263241773175e+00
1.062595423184224092e+04,2.409243164703724016e+00
1.062595425052003520e+04,2.409193066639446101e+00
1.062595426919782767e+04,2.409142969053827077e+00
1.062595428787562196e+04,2.409092871937104974e+00
1.062595430655341625e+04,2.409042775294157668e+00
1.062595432523120871e+04,2.408992679129871917e+00
1.062595434390900300e+04,2.408942583434491969e+00
1.062595436258679729e+04,2.408892488212896144e+00
1.062595438126458976e+04,2.408842393469964982e+00
1.062595439994238404e+04,2.408792299195944508e+00
1.062595441862017833e+04,2.408742205395713043e+00
1.062595443729797080e+04,2.408692112074157787e+00
1.062595445597576509e+04,2.408642019221511443e+00
1.062595447465355937e+04,2.408591926842666542e+00
1.062595449333135366e+04,2.408541834937619974e+00
1.062595451200914613e+04,2.408491743511250061e+00
1.062595453068694042e+04,2.408441652553803269e+00
1.062595454936473470e+04,2.408391562070162806e+00
1.062595456804252717e+04,2.408341472065207434e+00
1.062595458672032146e+04,2.408291382529183178e+00
1.062595460539811575e+04,2.408241293466968358e+00
1.062595462407590821e+04,2.408191204883443515e+00
1.062595464275370250e+04,2.408141116768854229e+00
1.062595466143149679e+04,2.408091029128079708e+00
1.062595468010928926e+04,2.408040941966002713e+00
1.062595469878708354e+04,2.407990855272868824e+00
1.062595471746487783e+04,2.407940769053556807e+00
1.062595473614267030e+04,2.407890683312945868e+00
1.062595475482046459e+04,2.407840598041283808e+00
1.062595477349825887e+04,2.407790513243451169e+00
1.062595479217605134e+04,2.407740428924323606e+00
1.062595481085384563e+04,2.407690345074147142e+00
1.062595482953163992e+04,2.407640261697808981e+00
1.062595484820943238e+04,2.407590178800183001e+00
1.062595486688722667e+04,2.407540096371517890e+00
1.062595488556502096e+04,2.407490014416689306e+00
1.062595490424281343e+04,2.407439932940585781e+00
1.062595492292060771e+04,2.407389851933444014e+00
1.062595494159840200e+04,2.407339771400146322e+00
1.062595496027619629e+04,2.407289691340699811e+00
1.062595497895398876e+04,2.407239611759978359e+00
1.062595499763178304e+04,2.407189532648231545e+00
1.062595501630957733e+04,2.407139454010335022e+00
1.062595503498736980e+04,2.407089375851177770e+00
1.062595505366516409e+04,2.407039298160993823e+00
1.062595507234295837e+04,2.406989220944672603e+00
1.062595509102075084e+04,2.406939144207087988e+00
1.062595510969854513e+04,2.406889067938492222e+00
1.062595512837633942e+04,2.406838992143759626e+00
1.062595514705413188e+04,2.406788916827771629e+00
1.062595516573192617e+04,2.406738841980772925e+00
1.062595518440972046e+04,2.406688767607648050e+00
1.062595520308751293e+04,2.406638693713275767e+00
1.062595522176530721e+04,2.406588620287895885e+00
1.062595524044310150e+04,2.406538547336395162e+00
1.062595525912089397e+04,2.406488474863650140e+00
1.062595527779868826e+04,2.406438402859910397e+00
1.062595529647648254e+04,2.406388331330048036e+00
1.062595531515427501e+04,2.406338260278951147e+00
1.062595533383206930e+04,2.406288189696864865e+00
1.062595535250986359e+04,2.406238119588668400e+00
1.062595537118765606e+04,2.406188049959235631e+00
1.062595538986545034e+04,2.406137980798821463e+00
1.062595540854324463e+04,2.406087912112302440e+00
1.062595542722103892e+04,2.406037843899675011e+00
1.062595544589883139e+04,2.405987776165824155e+00
1.062595546457662567e+04,2.405937708901000338e+00
1.062595548325441996e+04,2.405887642110077440e+00
1.062595550193221243e+04,2.405837575797934669e+00
1.062595552061000672e+04,2.405787509954822934e+00
1.062595553928780100e+04,2.405737444585619667e+00
1.062595555796559347e+04,2.405687379695200523e+00
1.062595557664338776e+04,2.405637315273814636e+00
1.062595559532118205e+04,2.405587251326347875e+00
1.062595561399897451e+04,2.405537187857671011e+00
1.062595563267676880e+04,2.405487124858038062e+00
1.062595565135456309e+04,2.405437062332321130e+00
1.062595567003235556e+04,2.405387000285406529e+00
1.062595568871014984e+04,2.405336938707536287e+00
1.062595570738794413e+04,2.405286877603593165e+00
1.062595572606573660e+04,2.405236816978454151e+00
1.062595574474353089e+04,2.405186756822369265e+00
1.062595576342132517e+04,2.405136697140216384e+00
1.062595578209911764e+04,2.405086637936872052e+00
1.062595580077691193e+04,2.405036579202583624e+00
1.062595581945470622e+04,2.404986520942238748e+00
1.062595583813249868e+04,2.404936463160709081e+00
1.062595585681029297e+04,2.404886405848241093e+00
1.062595587548808726e+04,2.404836349009720209e+00
1.062595589416588155e+04,2.404786292645144208e+00
1.062595591284367401e+04,2.404736236759388301e+00
1.062595593152146830e+04,2.404686181342705620e+00
1.062595595019926259e+04,2.404636126399977591e+00
1.062595596887705506e+04,2.404586071936074543e+00
1.062595598755484934e+04,2.404536017941256265e+00
1.062595600623264363e+04,2.404485964420392641e+00
1.062595602491043610e+04,2.404435911378361990e+00
1.062595604358823039e+04,2.404385858805419218e+00
1.062595606226602467e+04,2.404335806706435985e+00
1.062595608094381714e+04,2.404285755086295495e+00
1.062595609962161143e+04,2.404235703935247770e+00
1.062595611829940572e+04,2.404185653258168909e+00
1.062595613697719818e+04,2.404135603059933235e+00
1.062595615565499247e+04,2.404085553330797875e+00
1.062595617433278676e+04,2.404035504075638041e+00
1.062595619301057923e+04,2.403985455299326279e+00
1.062595621168837351e+04,2.403935406992117940e+00
1.062595623036616780e+04,2.403885359158893564e+00
1.062595624904396027e+04,2.403835311804524810e+00
