Time (BJD_TBD - 2450000), L_c/L_star (ppm)
7.260792079207921233e+03,3.332718298008993685e+01
7.260795079507950504e+03,3.242827107699843481e+01
7.260798079807980685e+03,3.154067948835763602e+01
7.260801080108010865e+03,3.066446199217527280e+01
7.260804080408041045e+03,2.979967167704709041e+01
7.260807080708071226e+03,2.894636093921448960e+01
7.260810081008100497e+03,2.810458147964339304e+01
7.260813081308130677e+03,2.727438429987445545e+01
7.260816081608160857e+03,2.645581970046407605e+01
7.260819081908191038e+03,2.564893727691261560e+01
7.260822082208221218e+03,2.485378591691628358e+01
7.260825082508250489e+03,2.407041379764094557e+01
7.260828082808280669e+03,2.329886838185673525e+01
7.260831083108310850e+03,2.253919641648724337e+01
7.260834083408341030e+03,2.179144392882365011e+01
7.260837083708371210e+03,2.105565622397546477e+01
7.260840084008400481e+03,2.033187788234289428e+01
7.260843084308430662e+03,1.962015275604191089e+01
7.260846084608460842e+03,1.892052396756386301e+01
7.260849084908491022e+03,1.823303390628139198e+01
7.260852085208521203e+03,1.755772422610127492e+01
7.260855085508550474e+03,1.689463584313998723e+01
7.260858085808580654e+03,1.624380893244428847e+01
7.260861086108610834e+03,1.560528292676306350e+01
7.260864086408641015e+03,1.497909651335054626e+01
7.260867086708671195e+03,1.436528763182502288e+01
7.260870087008700466e+03,1.376389347205066827e+01
7.260873087308730646e+03,1.317495047115879103e+01
7.260876087608760827e+03,1.259849431243400275e+01
7.260879087908791007e+03,1.203455992241919503e+01
7.260882088208821187e+03,1.148318146898368219e+01
7.260885088508850458e+03,1.094439235941428379e+01
7.260888088808880639e+03,1.041822523774193954e+01
7.260891089108910819e+03,9.904711983743668569e+00
7.260894089408940999e+03,9.403883710353941439e+00
7.260897089708971180e+03,8.915770761944893152e+00
7.260900090009000451e+03,8.440402712629868631e+00
7.260903090309030631e+03,7.977808363899144162e+00
7.260906090609060811e+03,7.528015743739414845e+00
7.260909090909090992e+03,7.091052104355432206e+00
7.260912091209121172e+03,6.666943920664756718e+00
7.260915091509151353e+03,6.255716888693831912e+00
7.260918091809180623e+03,5.857395924139736643e+00
7.260921092109210804e+03,5.472005160381677058e+00
7.260924092409240984e+03,5.099567947743130603e+00
7.260927092709271164e+03,4.740106851590241810e+00
7.260930093009301345e+03,4.393643651087350221e+00
7.260933093309330616e+03,4.060199337976428957e+00
7.260936093609360796e+03,3.739794114905012901e+00
7.260939093909390976e+03,3.432447394808507024e+00
7.260942094209421157e+03,3.138177799325803541e+00
7.260945094509451337e+03,2.857003157773975843e+00
7.260948094809480608e+03,2.588940506147391574e+00
7.260951095109510788e+03,2.334006085764522176e+00
7.260954095409540969e+03,2.092215342771259312e+00
7.260957095709571149e+03,1.863582926876263146e+00
7.260960096009601330e+03,1.648122690546455216e+00
7.260963096309630600e+03,1.445847688227167804e+00
7.260966096609660781e+03,1.256770175309756210e+00
7.260969096909690961e+03,1.080901607757144500e+00
7.260972097209721142e+03,9.182526411603630923e-01
7.260975097509751322e+03,7.688331301562744136e-01
7.260978097809780593e+03,6.326521278697619932e-01
7.260981098109810773e+03,5.097178852041377439e-01
7.260984098409840954e+03,4.000378505889181091e-01
7.260987098709871134e+03,3.036186693593529995e-01
7.260990099009901314e+03,2.204661833970897045e-01
7.260993099309930585e+03,1.505854307954962445e-01
7.260996099609960766e+03,9.398064547352298626e-02
7.260999099909990946e+03,5.065525704646194061e-02
7.261002100210021126e+03,2.061189052922240972e-02
7.261005100510051307e+03,3.852366200663842610e-03
7.261008100810080578e+03,3.776994921506143734e-04
7.261011101110110758e+03,1.018810092603571887e-02
7.261014101410140938e+03,3.328297610908795973e-02
7.261017101710171119e+03,6.966092576026805538e-02
7.261020102010201299e+03,1.193197457986821808e-01
7.261023102310230570e+03,1.822564274559521635e-01
7.261026102610260750e+03,2.584671575388348130e-01
7.261029102910290931e+03,3.479473185458518136e-01
7.261032103210321111e+03,4.506914890192993961e-01
7.261035103510351291e+03,5.666934438566757493e-01
7.261038103810381472e+03,6.959461546878135119e-01
7.261041104110410743e+03,8.384417902556129398e-01
7.261044104410440923e+03,9.941717170671626747e-01
7.261047104710471103e+03,1.163126499657866741e+00
7.261050105010501284e+03,1.345295901331638566e+00
7.261053105310531464e+03,1.540668884740180378e+00
7.261056105610560735e+03,1.749233612486342571e+00
7.261059105910590915e+03,1.970977448098280904e+00
7.261062106210621096e+03,2.205886956415693323e+00
7.261065106510651276e+03,2.453947904652808987e+00
7.261068106810681456e+03,2.715145263199466363e+00
7.261071107110710727e+03,2.989463206446528520e+00
7.261074107410740908e+03,3.276885114081407924e+00
7.261077107710771088e+03,3.577393571596161337e+00
7.261080108010801268e+03,3.890970371671114147e+00
7.261083108310831449e+03,4.217596515196998297e+00
7.261086108610860720e+03,4.557252212321023066e+00
7.261089108910890900e+03,4.909916884061784614e+00
7.261092109210921080e+03,5.275569162938299250e+00
7.261095109510951261e+03,5.654186894672536212e+00
7.261098109810981441e+03,6.045747139430733164e+00
7.261101110111010712e+03,6.450226173088700499e+00
7.261104110411040892e+03,6.867599489163589865e+00
7.261107110711071073e+03,7.297841799563057563e+00
7.261110111011101253e+03,7.740927036603884481e+00
7.261113111311131433e+03,8.196828354470794054e+00
7.261116111611160704e+03,8.665518130699028987e+00
7.261119111911190885e+03,9.146967968419945194e+00
7.261122112211221065e+03,9.641148697229294129e+00
7.261125112511251245e+03,1.014803037551888387e+01
7.261128112811281426e+03,1.066758229215066400e+01
7.261131113111310697e+03,1.119977296815411805e+01
7.261134113411340877e+03,1.174457015928273584e+01
7.261137113711371057e+03,1.230194085699962336e+01
7.261140114011401238e+03,1.287185129111900395e+01
7.261143114311431418e+03,1.345426693169274301e+01
7.261146114611461599e+03,1.404915249110264597e+01
7.261149114911490869e+03,1.465647192601233151e+01
7.261152115211521050e+03,1.527618844029125533e+01
7.261155115511551230e+03,1.590826448613961830e+01
7.261158115811581411e+03,1.655266176709577053e+01
7.261161116111611591e+03,1.720934124017451339e+01
7.261164116411640862e+03,1.787826311802790968e+01
7.261167116711671042e+03,1.855938687217079064e+01
7.261170117011701223e+03,1.925267123421959070e+01
7.261173117311731403e+03,1.995807419920021175e+01
7.261176117611761583e+03,2.067555302789207516e+01
7.261179117911790854e+03,2.140506424919463058e+01
7.261182118211821034e+03,2.214656366364945228e+01
7.261185118511851215e+03,2.290000634479138242e+01
7.261188118811881395e+03,2.366534664275137700e+01
7.261191119111911576e+03,2.444253818680314083e+01
7.261194119411940846e+03,2.523153388793165064e+01
7.261197119711971027e+03,2.603228594264648521e+01
7.261200120012001207e+03,2.684474583444308848e+01
7.261203120312031388e+03,2.766886433769546372e+01
7.261206120612061568e+03,2.850459152040127719e+01
7.261209120912090839e+03,2.935187674694851623e+01
7.261212121212121019e+03,3.021066868221437218e+01
7.261215121512151200e+03,3.108091529313447055e+01
7.261218121812181380e+03,3.196256385287923152e+01
7.261221122112211560e+03,3.285556094379363401e+01
7.261224122412240831e+03,3.375985246035769194e+01
7.261227122712271012e+03,3.467538361356450594e+01
7.261230123012301192e+03,3.560209893259531810e+01
7.261233123312331372e+03,3.653994226927317612e+01
7.261236123612361553e+03,3.748885680119276032e+01
7.261239123912390824e+03,3.844878503487022670e+01
7.261242124212421004e+03,3.941966881039408577e+01
7.261245124512451184e+03,4.040144930320308703e+01
7.261248124812481365e+03,4.139406702881083788e+01
7.261251125112511545e+03,4.239746184612067026e+01
7.261254125412540816e+03,4.341157296076031002e+01
7.261257125712570996e+03,4.443633892999834956e+01
7.261260126012601177e+03,4.547169766462236140e+01
7.261263126312631357e+03,4.651758643392729198e+01
7.261266126612661537e+03,4.757394186921038681e+01
7.261269126912691718e+03,4.864069996761054426e+01
7.261272127212720989e+03,4.971779609565817282e+01
7.261275127512751169e+03,5.080516499450030210e+01
7.261278127812781349e+03,5.190274078189545293e+01
7.261281128112811530e+03,5.301045695750836728e+01
7.261284128412841710e+03,5.412824640661407471e+01
7.261287128712870981e+03,5.525604140382094442e+01
7.261290129012901161e+03,5.639377361854459281e+01
7.261293129312931342e+03,5.754137411709655225e+01
7.261296129612961522e+03,5.869877336822548131e+01
7.261299129912991702e+03,5.986590124698957283e+01
7.261302130213020973e+03,6.104268703864701706e+01
7.261305130513051154e+03,6.222905944437035686e+01
7.261308130813081334e+03,6.342494658342608460e+01
7.261311131113111514e+03,6.463027599895366393e+01
7.261314131413141695e+03,6.584497466200043903e+01
7.261317131713170966e+03,6.706896897557372483e+01
7.261320132013201146e+03,6.830218478058699816e+01
7.261323132313231326e+03,6.954454735812683452e+01
7.261326132613261507e+03,7.079598143546138544e+01
7.261329132913291687e+03,7.205641119023128738e+01
7.261332133213320958e+03,7.332576025465758107e+01
7.261335133513351138e+03,7.460395172171055833e+01
7.261338133813381319e+03,7.589090814746059266e+01
7.261341134113411499e+03,7.718655155730692741e+01
7.261344134413441679e+03,7.849080345031856609e+01
7.261347134713470950e+03,7.980358480359120676e+01
7.261350135013501131e+03,8.112481607862952160e+01
7.261353135313531311e+03,8.245441722377870519e+01
7.261356135613561491e+03,8.379230768066356916e+01
7.261359135913591672e+03,8.513840638867310417e+01
7.261362136213620943e+03,8.649263178945994923e+01
7.261365136513651123e+03,8.785490183352641225e+01
7.261368136813681303e+03,8.922513398273251539e+01
7.261371137113711484e+03,9.060324521693655697e+01
7.261374137413741664e+03,9.198915203861601242e+01
7.261377137713770935e+03,9.338277047750254667e+01
7.261380138013801115e+03,9.478401609736206979e+01
7.261383138313831296e+03,9.619280399857585451e+01
7.261386138613861476e+03,9.760904882497173674e+01
7.261389138913891657e+03,9.903266476857466216e+01
7.261392139213921837e+03,1.004635655748055285e+02
7.261395139513951108e+03,1.019016645472701725e+02
7.261398139813981288e+03,1.033468745547581307e+02
7.261401140114011469e+03,1.047991080339062080e+02
7.261404140414041649e+03,1.062582769962453000e+02
7.261407140714071829e+03,1.077242930330965009e+02
7.261410141014101100e+03,1.091970673204804712e+02
7.261413141314131281e+03,1.106765106262867135e+02
7.261416141614161461e+03,1.121625333130014894e+02
7.261419141914191641e+03,1.136550453449223852e+02
7.261422142214221822e+03,1.151539562931681075e+02
7.261425142514251093e+03,1.166591753407002301e+02
7.261428142814281273e+03,1.181706112896525980e+02
7.261431143114311453e+03,1.196881725641192276e+02
7.261434143414341634e+03,1.212117672175258605e+02
7.261437143714371814e+03,1.227413029377457434e+02
7.261440144014401085e+03,1.242766870522259666e+02
7.261443144314431265e+03,1.258178265354664234e+02
7.261446144614461446e+03,1.273646280118627914e+02
7.261449144914491626e+03,1.289169977632245718e+02
7.261452145214521806e+03,1.304748417339884554e+02
7.261455145514551077e+03,1.320380655364423319e+02
7.261458145814581258e+03,1.336065744583412993e+02
7.261461146114611438e+03,1.351802734658027703e+02
7.261464146414641618e+03,1.367590672109585341e+02
7.261467146714671799e+03,1.383428600372583617e+02
