Time (BJD_TBD - 2450000), L_g/L_star (ppm)
7.286114611461146524e+03,3.260950301611892854e+01
7.286117611761175795e+03,3.264576898328722621e+01
7.286120612061205975e+03,3.268201707473532025e+01
7.286123612361236155e+03,3.271824720604463010e+01
7.286126612661266336e+03,3.275445929284926905e+01
7.286129612961296516e+03,3.279065325082540738e+01
7.286132613261325787e+03,3.282682899568051482e+01
7.286135613561355967e+03,3.286298644319735729e+01
7.286138613861386148e+03,3.289912550916835698e+01
7.286141614161416328e+03,3.293524610943970288e+01
7.286144614461446508e+03,3.297134815990069256e+01
7.286147614761475779e+03,3.300743157647269754e+01
7.286150615061505960e+03,3.304349627515355792e+01
7.286153615361536140e+03,3.307954217195163693e+01
7.286156615661566320e+03,3.311556918293013041e+01
7.286159615961596501e+03,3.315157722419614572e+01
7.286162616261625772e+03,3.318756621189015732e+01
7.286165616561655952e+03,3.322353606222969802e+01
7.286168616861686132e+03,3.325948669144408854e+01
7.286171617161716313e+03,3.329541801581835614e+01
7.286174617461746493e+03,3.333132995168237755e+01
7.286177617761775764e+03,3.336722241540059031e+01
7.286180618061805944e+03,3.340309532341505161e+01
7.286183618361836125e+03,3.343894859218099214e+01
7.286186618661866305e+03,3.347478213821008808e+01
7.286189618961896485e+03,3.351059587805996642e+01
7.286192619261925756e+03,3.354638972832361787e+01
7.286195619561955937e+03,3.358216360567286074e+01
7.286198619861986117e+03,3.361791742679339023e+01
7.286201620162016297e+03,3.365365110842851237e+01
7.286204620462046478e+03,3.368936456736843610e+01
7.286207620762076658e+03,3.372505772045052908e+01
7.286210621062105929e+03,3.376073048454852454e+01
7.286213621362136109e+03,3.379638277661603496e+01
7.286216621662166290e+03,3.383201451362206313e+01
7.286219621962196470e+03,3.386762561259413928e+01
7.286222622262226650e+03,3.390321599060798263e+01
7.286225622562255921e+03,3.393878556477666564e+01
7.286228622862286102e+03,3.397433425229414894e+01
7.286231623162316282e+03,3.400986197037055092e+01
7.286234623462346462e+03,3.404536863627577503e+01
7.286237623762376643e+03,3.408085416732858874e+01
7.286240624062405914e+03,3.411631848088637753e+01
7.286243624362436094e+03,3.415176149438803321e+01
7.286246624662466274e+03,3.418718312528979908e+01
7.286249624962496455e+03,3.422258329110867692e+01
7.286252625262526635e+03,3.425796190941142783e+01
7.286255625562555906e+03,3.429331889780431908e+01
7.286258625862586086e+03,3.432865417397621854e+01
7.286261626162616267e+03,3.436396765563427635e+01
7.286264626462646447e+03,3.439925926054723959e+01
7.286267626762676628e+03,3.443452890653473020e+01
7.286270627062705898e+03,3.446977651145677868e+01
7.286273627362736079e+03,3.450500199325686879e+01
7.286276627662766259e+03,3.454020526989790341e+01
7.286279627962796440e+03,3.457538625940528476e+01
7.286282628262826620e+03,3.461054487985614259e+01
7.286285628562855891e+03,3.464568104936910942e+01
7.286288628862886071e+03,3.468079468614713079e+01
7.286291629162916252e+03,3.471588570841352350e+01
7.286294629462946432e+03,3.475095403445507003e+01
7.286297629762976612e+03,3.478599958261130354e+01
7.286300630063005883e+03,3.482102227126417660e+01
7.286303630363036063e+03,3.485602201888076479e+01
7.286306630663066244e+03,3.489099874394975132e+01
7.286309630963096424e+03,3.492595236502392453e+01
7.286312631263126605e+03,3.496088280071001719e+01
7.286315631563155875e+03,3.499578996965804834e+01
7.286318631863186056e+03,3.503067379060401265e+01
7.286321632163216236e+03,3.506553418230659247e+01
7.286324632463246417e+03,3.510037106358949188e+01
7.286327632763276597e+03,3.513518435333121204e+01
7.286330633063306777e+03,3.516997397046516483e+01
7.286333633363336048e+03,3.520473983396942685e+01
7.286336633663366229e+03,3.523948186290895279e+01
7.286339633963396409e+03,3.527419997637257154e+01
7.286342634263426589e+03,3.530889409351530617e+01
