Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.891702176224740469e+03,2.916224810037923021e+02
9.891702199117076816e+03,2.916395830512466318e+02
9.891702222009411344e+03,2.916566850844048417e+02
9.891702244901747690e+03,2.916737871059242480e+02
9.891702267794084037e+03,2.916908891143858114e+02
9.891702290686418564e+03,2.917079911083700949e+02
9.891702313578754911e+03,2.917250930905345285e+02
9.891702336471089438e+03,2.917421950581013448e+02
9.891702359363425785e+03,2.917592970137275188e+02
9.891702382255760313e+03,2.917763989546353969e+02
9.891702405148096659e+03,2.917935008834821815e+02
9.891702428040431187e+03,2.918106027974898211e+02
9.891702450932767533e+03,2.918277046993157455e+02
9.891702473825103880e+03,2.918448065875407451e+02
9.891702496717438407e+03,2.918619084607457239e+02
9.891702519609774754e+03,2.918790103215879981e+02
9.891702542502109281e+03,2.918961121672894024e+02
9.891702565394445628e+03,2.919132140005075939e+02
9.891702588286780156e+03,2.919303158184641802e+02
9.891702611179116502e+03,2.919474176238169889e+02
9.891702634071451030e+03,2.919645194137876274e+02
9.891702656963787376e+03,2.919816211910335255e+02
9.891702679856121904e+03,2.919987229527768591e+02
9.891702702748458250e+03,2.920158247016748305e+02
9.891702725640794597e+03,2.920329264363082302e+02
9.891702748533129125e+03,2.920500281552580759e+02
9.891702771425465471e+03,2.920671298611814564e+02
9.891702794317799999e+03,2.920842315513006611e+02
9.891702817210136345e+03,2.921013332282728356e+02
9.891702840102470873e+03,2.921184348893200422e+02
9.891702862994807219e+03,2.921355365370997106e+02
9.891702885887141747e+03,2.921526381688335618e+02
9.891702908779478093e+03,2.921697397871793100e+02
9.891702931671814440e+03,2.921868413907176318e+02
9.891702954564148968e+03,2.922039429780292608e+02
9.891702977456485314e+03,2.922210445517716835e+02
9.891703000348819842e+03,2.922381461091668484e+02
9.891703023241156188e+03,2.922552476528720717e+02
9.891703046133490716e+03,2.922723491801094724e+02
9.891703069025827062e+03,2.922894506935363097e+02
9.891703091918161590e+03,2.923065521903745321e+02
9.891703114810497937e+03,2.923236536732816262e+02
9.891703137702834283e+03,2.923407551408383256e+02
9.891703160595168811e+03,2.923578565916255343e+02
9.891703183487505157e+03,2.923749580283005116e+02
9.891703206379839685e+03,2.923920594480853197e+02
9.891703229272176031e+03,2.924091608536373315e+02
9.891703252164510559e+03,2.924262622421784954e+02
9.891703275056846905e+03,2.924433636163661276e+02
9.891703297949181433e+03,2.924604649734224040e+02
9.891703320841517780e+03,2.924775663160044132e+02
9.891703343733852307e+03,2.924946676413343880e+02
9.891703366626188654e+03,2.925117689520695876e+02
9.891703389518525000e+03,2.925288702467908024e+02
9.891703412410859528e+03,2.925459715240789365e+02
9.891703435303195874e+03,2.925630727865913627e+02
9.891703458195530402e+03,2.925801740315499160e+02
9.891703481087866749e+03,2.925972752616121966e+02
9.891703503980201276e+03,2.926143764740000393e+02
9.891703526872537623e+03,2.926314776713707602e+02
9.891703549764872150e+03,2.926485788509465351e+02
9.891703572657208497e+03,2.926656800153845666e+02
9.891703595549544843e+03,2.926827811632657017e+02
9.891703618441879371e+03,2.926998822931709014e+02
9.891703641334215718e+03,2.927169834077573114e+02
9.891703664226550245e+03,2.927340845042471642e+02
9.891703687118886592e+03,2.927511855852976623e+02
9.891703710011221119e+03,2.927682866481308679e+02
9.891703732903557466e+03,2.927853876954041539e+02
9.891703755795891993e+03,2.928024887243393550e+02
