Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.908232031075818668e+03,9.287332293451274836e+02
9.908232054298048752e+03,9.287562331148369594e+02
9.908232077520278835e+03,9.287792349777344043e+02
9.908232100742507100e+03,9.288022349318151782e+02
9.908232123964737184e+03,9.288252329804787450e+02
9.908232147186967268e+03,9.288482291217204647e+02
9.908232170409197352e+03,9.288712233553364968e+02
9.908232193631425616e+03,9.288942156793232243e+02
9.908232216853655700e+03,9.289172060970787470e+02
9.908232240075885784e+03,9.289401946065988795e+02
9.908232263298115868e+03,9.289631812076804636e+02
9.908232286520344132e+03,9.289861658983198822e+02
9.908232309742574216e+03,9.290091486819147804e+02
9.908232332964804300e+03,9.290321295564613138e+02
9.908232356187034384e+03,9.290551085217564378e+02
9.908232379409262649e+03,9.290780855757972176e+02
9.908232402631492732e+03,9.291010607219801614e+02
9.908232425853722816e+03,9.291240339583024479e+02
9.908232449075952900e+03,9.291470052845606915e+02
9.908232472298181165e+03,9.291699746987525259e+02
9.908232495520411248e+03,9.291929422042736633e+02
9.908232518742641332e+03,9.292159077991218510e+02
9.908232541964871416e+03,9.292388714830938170e+02
9.908232565187099681e+03,9.292618332541882182e+02
9.908232588409329765e+03,9.292847931157991752e+02
9.908232611631559848e+03,9.293077510659251175e+02
9.908232634853789932e+03,9.293307071043633414e+02
9.908232658076018197e+03,9.293536612291125039e+02
9.908232681298248281e+03,9.293766134435661570e+02
9.908232704520478364e+03,9.293995637457231851e+02
9.908232727742708448e+03,9.294225121353809982e+02
9.908232750964936713e+03,9.294454586105389353e+02
9.908232774187166797e+03,9.294684031745894117e+02
9.908232797409396881e+03,9.294913458255323349e+02
9.908232820631626964e+03,9.295142865631642053e+02
9.908232843853855229e+03,9.295372253854866358e+02
9.908232867076085313e+03,9.295601622958895405e+02
9.908232890298315397e+03,9.295830972923740774e+02
9.908232913520545480e+03,9.296060303747368607e+02
9.908232936742773745e+03,9.296289615409797307e+02
9.908232959965003829e+03,9.296518907944921466e+02
9.908232983187233913e+03,9.296748181332757213e+02
9.908233006409463997e+03,9.296977435571269552e+02
9.908233029631692261e+03,9.297206670640484845e+02
9.908233052853922345e+03,9.297435886574288588e+02
9.908233076076152429e+03,9.297665083352698048e+02
9.908233099298382513e+03,9.297894260973685050e+02
9.908233122520610777e+03,9.298123419417280502e+02
9.908233145742840861e+03,9.298352558717360807e+02
9.908233168965070945e+03,9.298581678853943231e+02
9.908233192187301029e+03,9.298810779825014379e+02
9.908233215409529294e+03,9.299039861610594926e+02
9.908233238631759377e+03,9.299268924244559003e+02
9.908233261853989461e+03,9.299497967706934105e+02
9.908233285076219545e+03,9.299726991995697745e+02
9.908233308298447810e+03,9.299955997090891060e+02
9.908233331520677893e+03,9.300184983026363170e+02
9.908233354742907977e+03,9.300413949782159762e+02
9.908233377965138061e+03,9.300642897356248113e+02
9.908233401187366326e+03,9.300871825728684144e+02
9.908233424409596410e+03,9.301100734933304466e+02
9.908233447631826493e+03,9.301329624950157040e+02
9.908233470854056577e+03,9.301558495777220514e+02
9.908233494076284842e+03,9.301787347394548533e+02
9.908233517298514926e+03,9.302016179835967478e+02
9.908233540520745009e+03,9.302244993081532130e+02
9.908233563742975093e+03,9.302473787129225684e+02
9.908233586965203358e+03,9.302702561959107470e+02
9.908233610187433442e+03,9.302931317604992500e+02
9.908233633409663526e+03,9.303160054046940104e+02
9.908233656631893609e+03,9.303388771282935750e+02
9.908233679854121874e+03,9.303617469293044451e+02
9.908233703076351958e+03,9.303846148111073262e+02
9.908233726298582042e+03,9.304074807717088333e+02
9.908233749520812125e+03,9.304303448109072860e+02
9.908233772743040390e+03,9.304532069267099814e+02
9.908233795965270474e+03,9.304760671224964881e+02
9.908233819187500558e+03,9.304989253962741032e+02
9.908233842409730642e+03,9.305217817478412599e+02
9.908233865631958906e+03,9.305446361752059374e+02
9.908233888854188990e+03,9.305674886817465676e+02
9.908233912076419074e+03,9.305903392654713571e+02
9.908233935298649158e+03,9.306131879261787390e+02
9.908233958520877422e+03,9.306360346618771473e+02
9.908233981743107506e+03,9.306588794759439907e+02
9.908234004965337590e+03,9.306817223663882714e+02
9.908234028187567674e+03,9.307045633330083092e+02
9.908234051409795939e+03,9.307274023738134474e+02
9.908234074632026022e+03,9.307502394921797304e+02
9.908234097854256106e+03,9.307730746861175248e+02
9.908234121076486190e+03,9.307959079554241271e+02
9.908234144298716274e+03,9.308187392998988798e+02
9.908234167520944538e+03,9.308415687175514677e+02
9.908234190743174622e+03,9.308643962117571391e+02
9.908234213965404706e+03,9.308872217805262608e+02
9.908234237187634790e+03,9.309100454236570386e+02
9.908234260409863055e+03,9.309328671391608623e+02
9.908234283632093138e+03,9.309556869304111615e+02
9.908234306854323222e+03,9.309785047954190986e+02
9.908234330076553306e+03,9.310013207339834480e+02
9.908234353298781571e+03,9.310241347441157131e+02
9.908234376521011654e+03,9.310469468291887551e+02
