Time (BJD_TBD - 2450000), L_f/L_star (ppm)
9.913999307072141164e+03,6.938775076055580371e+01
9.913999325175804188e+03,6.938752888373649341e+01
9.913999343279467212e+03,6.938730700197474732e+01
9.913999361383128416e+03,6.938708511529299017e+01
9.913999379486791440e+03,6.938686322364658565e+01
9.913999397590452645e+03,6.938664132708022692e+01
9.913999415694115669e+03,6.938641942554932029e+01
9.913999433797776874e+03,6.938619751909850208e+01
9.913999451901439897e+03,6.938597560768319283e+01
9.913999470005101102e+03,6.938575369134807147e+01
9.913999488108764126e+03,6.938553177004853012e+01
9.913999506212427150e+03,6.938530984380692246e+01
9.913999524316088355e+03,6.938508791264554532e+01
9.913999542419751378e+03,6.938486597651987609e+01
9.913999560523412583e+03,6.938464403547452264e+01
9.913999578627075607e+03,6.938442208946496237e+01
9.913999596730736812e+03,6.938420013853578894e+01
9.913999614834399836e+03,6.938397818264242289e+01
9.913999632938062859e+03,6.938375622180721791e+01
9.913999651041724064e+03,6.938353425605252767e+01
9.913999669145387088e+03,6.938331228533374428e+01
9.913999687249048293e+03,6.938309030969556090e+01
9.913999705352711317e+03,6.938286832909335544e+01
9.913999723456372521e+03,6.938264634357177840e+01
9.913999741560035545e+03,6.938242435308626455e+01
9.913999759663696750e+03,6.938220235768146438e+01
9.913999777767359774e+03,6.938198035731278424e+01
9.913999795871022798e+03,6.938175835200256358e+01
9.913999813974684002e+03,6.938153634177318452e+01
9.913999832078347026e+03,6.938131432657999653e+01
9.913999850182008231e+03,6.938109230646770698e+01
9.913999868285671255e+03,6.938087028139169377e+01
9.913999886389332460e+03,6.938064825139665004e+01
9.913999904492995483e+03,6.938042621643793950e+01
9.913999922596656688e+03,6.938020417656026950e+01
9.913999940700319712e+03,6.937998213171901796e+01
9.913999958803982736e+03,6.937976008193655275e+01
9.913999976907643941e+03,6.937953802723518493e+01
9.913999995011306964e+03,6.937931596757036345e+01
9.914000013114968169e+03,6.937909390298669621e+01
9.914000031218631193e+03,6.937887183343967479e+01
9.914000049322292398e+03,6.937864975897385023e+01
9.914000067425955422e+03,6.937842767954472833e+01
9.914000085529616626e+03,6.937820559519690278e+01
9.914000103633279650e+03,6.937798350588585095e+01
9.914000121736942674e+03,6.937776141163382704e+01
9.914000139840603879e+03,6.937753931246326999e+01
9.914000157944266903e+03,6.937731720832950089e+01
