Time (BJD_TBD - 2450000), F_b/F_star (ppm)
1.065017779107090064e+04,7.231430416814680484e+02
1.065017781236122391e+04,7.231490839586634820e+02
1.065017783365154719e+04,7.231551234266999018e+02
1.065017785494187046e+04,7.231611600855301276e+02
1.065017787623219374e+04,7.231671939351066385e+02
1.065017789752251883e+04,7.231732249758974831e+02
1.065017791881284211e+04,7.231792532068245691e+02
1.065017794010316538e+04,7.231852786283562864e+02
1.065017796139348866e+04,7.231913012404453411e+02
1.065017798268381193e+04,7.231973210430444396e+02
1.065017800397413521e+04,7.232033380361065156e+02
1.065017802526445848e+04,7.232093522195841615e+02
1.065017804655478176e+04,7.232153635934305385e+02
1.065017806784510503e+04,7.232213721575983527e+02
1.065017808913543013e+04,7.232273779125534929e+02
1.065017811042575340e+04,7.232333808572227554e+02
1.065017813171607668e+04,7.232393809920721424e+02
1.065017815300639995e+04,7.232453783170547013e+02
1.065017817429672323e+04,7.232513728321235931e+02
1.065017819558704650e+04,7.232573645372315241e+02
1.065017821687736978e+04,7.232633534323317690e+02
1.065017823816769305e+04,7.232693395173773752e+02
1.065017825945801633e+04,7.232753227923211625e+02
1.065017828074834142e+04,7.232813032576273145e+02
1.065017830203866470e+04,7.232872809122268336e+02
1.065017832332898797e+04,7.232932557565842444e+02
1.065017834461931125e+04,7.232992277906523668e+02
1.065017836590963452e+04,7.233051970143845892e+02
1.065017838719995780e+04,7.233111634277340727e+02
1.065017840849028107e+04,7.233171270306540919e+02
1.065017842978060435e+04,7.233230878230978078e+02
1.065017845107092762e+04,7.233290458050186089e+02
1.065017847236125272e+04,7.233350009768782911e+02
1.065017849365157599e+04,7.233409533376127456e+02
1.065017851494189927e+04,7.233469028876841094e+02
1.065017853623222254e+04,7.233528496270458845e+02
1.065017855752254582e+04,7.233587935556513457e+02
1.065017857881286909e+04,7.233647346734538814e+02
1.065017860010319237e+04,7.233706729804069937e+02
1.065017862139351564e+04,7.233766084764640709e+02
1.065017864268383892e+04,7.233825411615786152e+02
1.065017866397416401e+04,7.233884710362107171e+02
1.065017868526448729e+04,7.233943980993004743e+02
1.065017870655481056e+04,7.234003223513083185e+02
1.065017872784513384e+04,7.234062437921875244e+02
1.065017874913545711e+04,7.234121624218919351e+02
1.065017877042578039e+04,7.234180782403751664e+02
1.065017879171610366e+04,7.234239912475909478e+02
1.065017881300642694e+04,7.234299014434925539e+02
1.065017883429675021e+04,7.234358088280339416e+02
1.065017885558707530e+04,7.234417134016730415e+02
1.065017887687739858e+04,7.234476151633546124e+02
1.065017889816772185e+04,7.234535141135370395e+02
1.065017891945804513e+04,7.234594102521740524e+02
1.065017894074836840e+04,7.234653035792194942e+02
1.065017896203869168e+04,7.234711940946270943e+02
1.065017898332901495e+04,7.234770817983508095e+02
1.065017900461933823e+04,7.234829666903442558e+02
1.065017902590966150e+04,7.234888487705613898e+02
1.065017904719998660e+04,7.234947280394584368e+02
1.065017906849030987e+04,7.235006044959844758e+02
1.065017908978063315e+04,7.235064781405960730e+02
1.065017911107095642e+04,7.235123489732469579e+02
1.065017913236127970e+04,7.235182169938914285e+02
1.065017915365160297e+04,7.235240822024831004e+02
1.065017917494192625e+04,7.235299445989762717e+02
1.065017919623224952e+04,7.235358041833247853e+02
1.065017921752257280e+04,7.235416609554830529e+02
1.065017923881289789e+04,7.235475149159049124e+02
1.065017926010322117e+04,7.235533660635441038e+02
1.065017928139354444e+04,7.235592143988551470e+02
1.065017930268386772e+04,7.235650599217922263e+02
1.065017932397419099e+04,7.235709026323095259e+02
1.065017934526451427e+04,7.235767425303612299e+02
1.065017936655483754e+04,7.235825796159015226e+02
1.065017938784516082e+04,7.235884138888847019e+02
1.065017940913548409e+04,7.235942453492649520e+02
1.065017943042580919e+04,7.236000739974945191e+02
1.065017945171613246e+04,7.236058998325316907e+02
1.065017947300645574e+04,7.236117228548288267e+02
1.065017949429677901e+04,7.236175430643404525e+02
1.065017951558710229e+04,7.236233604610207522e+02
1.065017953687742556e+04,7.236291750448243647e+02
1.065017955816774884e+04,7.236349868157054743e+02
1.065017957945807211e+04,7.236407957736186063e+02
1.065017960074839539e+04,7.236466019185182859e+02
1.065017962203872048e+04,7.236524052508545992e+02
1.065017964332904376e+04,7.236582057695903814e+02
1.065017966461936703e+04,7.236640034751764006e+02
1.065017968590969031e+04,7.236697983675668411e+02
1.065017970720001358e+04,7.236755904467163418e+02
1.065017972849033686e+04,7.236813797125797691e+02
1.065017974978066013e+04,7.236871661651115346e+02
1.065017977107098341e+04,7.236929498042661635e+02
1.065017979236130668e+04,7.236987306299985221e+02
1.065017981365163178e+04,7.237045086427567639e+02
1.065017983494195505e+04,7.237102838415082715e+02
1.065017985623227833e+04,7.237160562267015393e+02
1.065017987752260160e+04,7.237218257982914338e+02
1.065017989881292488e+04,7.237275925562324801e+02
1.065017992010324815e+04,7.237333565004796583e+02
1.065017994139357143e+04,7.237391176309878347e+02
1.065017996268389470e+04,7.237448759477116482e+02
1.065017998397421798e+04,7.237506314506061926e+02
1.065018000526454307e+04,7.237563841401175750e+02
1.065018002655486634e+04,7.237621340152174980e+02
1.065018004784518962e+04,7.237678810763529782e+02
1.065018006913551289e+04,7.237736253234786545e+02
1.065018009042583617e+04,7.237793667565497344e+02
1.065018011171615944e+04,7.237851053755208568e+02
1.065018013300648272e+04,7.237908411803472291e+02
1.065018015429680599e+04,7.237965741709840586e+02
1.065018017558712927e+04,7.238023043473860980e+02
1.065018019687745436e+04,7.238080317099977492e+02
1.065018021816777764e+04,7.238137562577954895e+02
1.065018023945810091e+04,7.238194779912239483e+02
1.065018026074842419e+04,7.238251969102382191e+02
1.065018028203874746e+04,7.238309130147933956e+02
1.065018030332907074e+04,7.238366263048446854e+02
1.065018032461939401e+04,7.238423367803475230e+02
1.065018034590971729e+04,7.238480444412567749e+02
1.065018036720004056e+04,7.238537492875281032e+02
1.065018038849036566e+04,7.238594513196034086e+02
1.065018040978068893e+04,7.238651505364640570e+02
1.065018043107101221e+04,7.238708469385524040e+02
1.065018045236133548e+04,7.238765405258238843e+02
1.065018047365165876e+04,7.238822312982338190e+02
1.065018049494198203e+04,7.238879192557376427e+02
1.065018051623230531e+04,7.238936043982907904e+02
1.065018053752262858e+04,7.238992867258485830e+02
1.065018055881295186e+04,7.239049662383665691e+02
1.065018058010327695e+04,7.239106429362851713e+02
1.065018060139360023e+04,7.239163168185897348e+02
1.065018062268392350e+04,7.239219878857210233e+02
1.065018064397424678e+04,7.239276561376344716e+02
1.065018066526457005e+04,7.239333215742857419e+02
1.065018068655489333e+04,7.239389841956304963e+02
1.065018070784521660e+04,7.239446440016240558e+02
1.065018072913553988e+04,7.239503009922224237e+02
1.065018075042586315e+04,7.239559551673809210e+02
1.065018077171618825e+04,7.239616065275381516e+02
1.065018079300651152e+04,7.239672550716840078e+02
1.065018081429683480e+04,7.239729008002573210e+02
1.065018083558715807e+04,7.239785437132137531e+02
1.065018085687748135e+04,7.239841838105089664e+02
1.065018087816780462e+04,7.239898210920990778e+02
1.065018089945812790e+04,7.239954555579395219e+02
1.065018092074845117e+04,7.240010872079861883e+02
1.065018094203877445e+04,7.240067160421950803e+02
1.065018096332909954e+04,7.240123420610026415e+02
1.065018098461942282e+04,7.240179652634031982e+02
1.065018100590974609e+04,7.240235856498337625e+02
1.065018102720006937e+04,7.240292032202501105e+02
1.065018104849039264e+04,7.240348179746081314e+02
1.065018106978071592e+04,7.240404299128638286e+02
1.065018109107103919e+04,7.240460390349734325e+02
1.065018111236136247e+04,7.240516453408928328e+02
1.065018113365168574e+04,7.240572488305779189e+02
1.065018115494201083e+04,7.240628495044634292e+02
1.065018117623233411e+04,7.240684473615483512e+02
1.065018119752265738e+04,7.240740424022671959e+02
1.065018121881298066e+04,7.240796346265765351e+02
1.065018124010330394e+04,7.240852240344321444e+02
1.065018126139362721e+04,7.240908106257903682e+02
1.065018128268395049e+04,7.240963944006075508e+02
1.065018130397427376e+04,7.241019753588396952e+02
1.065018132526459704e+04,7.241075535004431458e+02
1.065018134655492213e+04,7.241131288258503673e+02
1.065018136784524540e+04,7.241187013340650083e+02
1.065018138913556868e+04,7.241242710255198745e+02
1.065018141042589195e+04,7.241298379001713101e+02
1.065018143171621523e+04,7.241354019579755459e+02
1.065018145300653850e+04,7.241409631988890396e+02
1.065018147429686178e+04,7.241465216228682493e+02
1.065018149558718505e+04,7.241520772298694055e+02
1.065018151687750833e+04,7.241576300198493072e+02
1.065018153816783342e+04,7.241631799932381455e+02
1.065018155945815670e+04,7.241687271490442299e+02
