Time (BJD_TBD - 2450000), L_c/L_star (ppm)
9.880045081882160957e+03,4.224388100109053994e+02
9.880045100441888280e+03,4.224427805092470294e+02
9.880045119001613784e+03,4.224467505361154167e+02
9.880045137561341107e+03,4.224507200922794823e+02
9.880045156121066611e+03,4.224546891769520016e+02
9.880045174680792115e+03,4.224586577905127456e+02
9.880045193240519438e+03,4.224626259333413714e+02
9.880045211800244942e+03,4.224665936046508818e+02
9.880045230359972265e+03,4.224705608052100274e+02
9.880045248919697769e+03,4.224745275342317541e+02
9.880045267479425092e+03,4.224784937924844144e+02
9.880045286039150596e+03,4.224824595791812953e+02
9.880045304598877919e+03,4.224864248950907495e+02
9.880045323158603424e+03,4.224903897394261776e+02
9.880045341718330747e+03,4.224943541129557047e+02
9.880045360278056251e+03,4.224983180148929023e+02
9.880045378837783574e+03,4.225022814460055542e+02
9.880045397397509078e+03,4.225062444055078004e+02
9.880045415957234582e+03,4.225102068937787294e+02
9.880045434516961905e+03,4.225141689111973733e+02
9.880045453076687409e+03,4.225181304569781560e+02
9.880045471636414732e+03,4.225220915318882362e+02
9.880045490196140236e+03,4.225260521351420380e+02
9.880045508755867559e+03,4.225300122675067769e+02
9.880045527315593063e+03,4.225339719281970474e+02
9.880045545875320386e+03,4.225379311179797241e+02
9.880045564435045890e+03,4.225418898360695152e+02
9.880045582994773213e+03,4.225458480832334658e+02
9.880045601554498717e+03,4.225498058586861703e+02
9.880045620114226040e+03,4.225537631631945601e+02
9.880045638673951544e+03,4.225577199959735140e+02
9.880045657233677048e+03,4.225616763574019501e+02
9.880045675793404371e+03,4.225656322478583320e+02
9.880045694353129875e+03,4.225695876665578794e+02
9.880045712912857198e+03,4.225735426142667848e+02
9.880045731472582702e+03,4.225774970902009500e+02
9.880045750032310025e+03,4.225814510951259990e+02
9.880045768592035529e+03,4.225854046282579475e+02
9.880045787151762852e+03,4.225893576903624194e+02
9.880045805711488356e+03,4.225933102806554302e+02
9.880045824271215679e+03,4.225972623999026609e+02
9.880045842830941183e+03,4.226012140473202408e+02
9.880045861390666687e+03,4.226051652232862921e+02
9.880045879950394010e+03,4.226091159281789373e+02
9.880045898510119514e+03,4.226130661612144763e+02
9.880045917069846837e+03,4.226170159231581920e+02
9.880045935629572341e+03,4.226209652132267252e+02
9.880045954189299664e+03,4.226249140321849609e+02
9.880045972749025168e+03,4.226288623792497106e+02
9.880045991308752491e+03,4.226328102551858024e+02
9.880046009868477995e+03,4.226367576592101614e+02
9.880046028428205318e+03,4.226407045920875589e+02
9.880046046987930822e+03,4.226446510530349769e+02
9.880046065547658145e+03,4.226485970428169026e+02
9.880046084107383649e+03,4.226525425606506587e+02
9.880046102667109153e+03,4.226564876069141405e+02
9.880046121226836476e+03,4.226604321819844472e+02
9.880046139786561980e+03,4.226643762850793564e+02
9.880046158346289303e+03,4.226683199169629574e+02
9.880046176906014807e+03,4.226722630768528006e+02
9.880046195465742130e+03,4.226762057655128615e+02
9.880046214025467634e+03,4.226801479821612020e+02
9.880046232585194957e+03,4.226840897275612292e+02
9.880046251144920461e+03,4.226880310009313462e+02
9.880046269704647784e+03,4.226919718030349600e+02
9.880046288264373288e+03,4.226959121330903031e+02
9.880046306824100611e+03,4.226998519918607826e+02
9.880046325383826115e+03,4.227037913785649721e+02
9.880046343943551619e+03,4.227077302935798002e+02
9.880046362503278942e+03,4.227116687372821389e+02
9.880046381063004446e+03,4.227156067088909595e+02
9.880046399622731769e+03,4.227195442091688733e+02
9.880046418182457273e+03,4.227234812373350792e+02
9.880046436742184596e+03,4.227274177941521316e+02
9.880046455301910100e+03,4.227313538788391156e+02
9.880046473861637423e+03,4.227352894921586994e+02
9.880046492421362927e+03,4.227392246333301387e+02
9.880046510981090250e+03,4.227431593031157604e+02
9.880046529540815754e+03,4.227470935007352182e+02
9.880046548100543077e+03,4.227510272269503844e+02
9.880046566660268581e+03,4.227549604809811399e+02
9.880046585219994085e+03,4.227588932632039587e+02
9.880046603779721409e+03,4.227628255739952010e+02
