Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.880041388496618310e+03,3.654180542045187607e+00
9.880041407056345633e+03,3.654221796439105940e+00
9.880041425616071137e+03,3.654263050991306550e+00
9.880041444175798460e+03,3.654304305709878076e+00
9.880041462735523965e+03,3.654345560586729214e+00
9.880041481295251288e+03,3.654386815629945051e+00
9.880041499854976792e+03,3.654428070831439612e+00
9.880041518414704115e+03,3.654469326199295764e+00
9.880041536974429619e+03,3.654510581725425311e+00
9.880041555534155123e+03,3.654551837413873905e+00
9.880041574093882446e+03,3.654593093268677428e+00
9.880041592653607950e+03,3.654634349281752126e+00
9.880041611213335273e+03,3.654675605461179533e+00
9.880041629773060777e+03,3.654716861798873229e+00
9.880041648332788100e+03,3.654758118302919634e+00
9.880041666892513604e+03,3.654799374965228775e+00
9.880041685452240927e+03,3.654840631793885741e+00
9.880041704011966431e+03,3.654881888780802779e+00
9.880041722571693754e+03,3.654923145934063644e+00
9.880041741131419258e+03,3.654964403245582361e+00
9.880041759691146581e+03,3.655005660723442684e+00
9.880041778250872085e+03,3.655046918359555086e+00
9.880041796810597589e+03,3.655088176157966107e+00
9.880041815370324912e+03,3.655129434122711185e+00
9.880041833930050416e+03,3.655170692245706121e+00
9.880041852489777739e+03,3.655211950535034227e+00
9.880041871049503243e+03,3.655253208982607305e+00
9.880041889609230566e+03,3.655294467596513108e+00
9.880041908168956070e+03,3.655335726368659888e+00
9.880041926728683393e+03,3.655376985307133619e+00
9.880041945288408897e+03,3.655418244403847439e+00
9.880041963848136220e+03,3.655459503666884657e+00
9.880041982407861724e+03,3.655500763088157967e+00
9.880042000967589047e+03,3.655542022675753344e+00
9.880042019527314551e+03,3.655583282421581259e+00
9.880042038087040055e+03,3.655624542329683813e+00
9.880042056646767378e+03,3.655665802404101328e+00
9.880042075206492882e+03,3.655707062636746940e+00
9.880042093766220205e+03,3.655748323035706626e+00
9.880042112325945709e+03,3.655789583592890413e+00
9.880042130885673032e+03,3.655830844316383832e+00
9.880042149445398536e+03,3.655872105198101352e+00
9.880042168005125859e+03,3.655913366246124063e+00
9.880042186564851363e+03,3.655954627452365102e+00
9.880042205124578686e+03,3.655995888824909112e+00
9.880042223684304190e+03,3.656037150355667453e+00
9.880042242244031513e+03,3.656078412052728321e+00
9.880042260803757017e+03,3.656119673908001300e+00
9.880042279363482521e+03,3.656160935925526712e+00
9.880042297923209844e+03,3.656202198109347989e+00
9.880042316482935348e+03,3.656243460451375604e+00
9.880042335042662671e+03,3.656284722959698197e+00
9.880042353602388175e+03,3.656325985626222241e+00
9.880042372162115498e+03,3.656367248459038155e+00
9.880042390721841002e+03,3.656408511450053744e+00
9.880042409281568325e+03,3.656449774607354541e+00
9.880042427841293829e+03,3.656491037922854126e+00
9.880042446401021152e+03,3.656532301404635810e+00
9.880042464960746656e+03,3.656573565044610508e+00
9.880042483520473979e+03,3.656614828850868637e+00
9.880042502080199483e+03,3.656656092815315784e+00
9.880042520639924987e+03,3.656697356941995380e+00
9.880042539199652310e+03,3.656738621234951747e+00
9.880042557759377814e+03,3.656779885686092690e+00
9.880042576319105137e+03,3.656821150303505963e+00
9.880042594878830641e+03,3.656862415079102924e+00
9.880042613438557964e+03,3.656903680020970437e+00
9.880042631998283468e+03,3.656944945121016310e+00
9.880042650558010791e+03,3.656986210387326519e+00
9.880042669117736295e+03,3.657027475811813311e+00
9.880042687677463618e+03,3.657068741402564882e+00
9.880042706237189122e+03,3.657110007151487707e+00
9.880042724796916445e+03,3.657151273066672204e+00
9.880042743356641950e+03,3.657192539140025733e+00
9.880042761916367454e+03,3.657233805375590396e+00
9.880042780476094777e+03,3.657275071777411402e+00
9.880042799035820281e+03,3.657316338337396111e+00
9.880042817595547604e+03,3.657357605063632722e+00
9.880042836155273108e+03,3.657398871948032593e+00
9.880042854715000431e+03,3.657440138998681700e+00
9.880042873274725935e+03,3.657481406207488295e+00
9.880042891834453258e+03,3.657522673582540129e+00
9.880042910394178762e+03,3.657563941115745898e+00
9.880042928953906085e+03,3.657605208815197351e+00
9.880042947513631589e+03,3.657646476672796965e+00
9.880042966073358912e+03,3.657687744696639598e+00
9.880042984633084416e+03,3.657729012878629948e+00
9.880043003192809920e+03,3.657770281222810560e+00
9.880043021752537243e+03,3.657811549733226641e+00
9.880043040312262747e+03,3.657852818401786887e+00
9.880043058871990070e+03,3.657894087236577718e+00
9.880043077431715574e+03,3.657935356229512269e+00
9.880043095991442897e+03,3.657976625388671632e+00
9.880043114551168401e+03,3.658017894705968942e+00
9.880043133110895724e+03,3.658059164189493284e+00
9.880043151670621228e+03,3.658100433831149800e+00
9.880043170230348551e+03,3.658141703639028908e+00
9.880043188790074055e+03,3.658182973605039745e+00
9.880043207349801378e+03,3.658224243737270509e+00
9.880043225909526882e+03,3.658265514027628562e+00
9.880043244469252386e+03,3.658306784480155116e+00
9.880043263028979709e+03,3.658348055098897600e+00
9.880043281588705213e+03,3.658389325875763376e+00
9.880043300148432536e+03,3.658430596818839309e+00
9.880043318708158040e+03,3.658471867920037202e+00
9.880043337267885363e+03,3.658513139187440366e+00
9.880043355827610867e+03,3.658554410612959717e+00
9.880043374387338190e+03,3.658595682204686117e+00
9.880043392947063694e+03,3.658636953954523818e+00
9.880043411506791017e+03,3.658678225870563683e+00
9.880043430066516521e+03,3.658719497944715737e+00
9.880043448626243844e+03,3.658760770185063738e+00
9.880043467185969348e+03,3.658802042583519931e+00
9.880043485745694852e+03,3.658843315144124198e+00
9.880043504305422175e+03,3.658884587870923522e+00
9.880043522865147679e+03,3.658925860755824822e+00
9.880043541424875002e+03,3.658967133806916738e+00
9.880043559984600506e+03,3.659008407016107522e+00
