Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.913967408419313870e+03,1.163473200213759583e+03
9.913967426522975074e+03,1.163509568962997491e+03
9.913967444626638098e+03,1.163545937988481001e+03
9.913967462730301122e+03,1.163582307286372725e+03
9.913967480833962327e+03,1.163618676852834142e+03
9.913967498937625351e+03,1.163655046694991142e+03
9.913967517041286555e+03,1.163691416805351764e+03
9.913967535144949579e+03,1.163727787191040306e+03
9.913967553248610784e+03,1.163764157844565261e+03
9.913967571352273808e+03,1.163800528773051838e+03
9.913967589455936832e+03,1.163836899972661513e+03
9.913967607559598036e+03,1.163873271439557357e+03
9.913967625663261060e+03,1.163909643180864578e+03
9.913967643766922265e+03,1.163946015189090303e+03
9.913967661870585289e+03,1.163982387471359971e+03
9.913967679974246494e+03,1.164018760020181162e+03
9.913967698077909517e+03,1.164055132842679768e+03
9.913967716181570722e+03,1.164091505931362690e+03
9.913967734285233746e+03,1.164127879293356273e+03
9.913967752388896770e+03,1.164164252924821540e+03
9.913967770492557975e+03,1.164200626821920423e+03
9.913967788596220998e+03,1.164237000991779951e+03
9.913967806699882203e+03,1.164273375426905886e+03
9.913967824803545227e+03,1.164309750134424121e+03
9.913967842907206432e+03,1.164346125106842464e+03
9.913967861010869456e+03,1.164382500351286581e+03
9.913967879114530660e+03,1.164418875860262688e+03
9.913967897218193684e+03,1.164455251640898041e+03
9.913967915321856708e+03,1.164491627689353663e+03
9.913967933425517913e+03,1.164528004001790578e+03
9.913967951529180937e+03,1.164564380585336266e+03
9.913967969632842141e+03,1.164600757432496266e+03
9.913967987736505165e+03,1.164637134550397377e+03
9.913968005840166370e+03,1.164673511931545818e+03
9.913968023943829394e+03,1.164709889583067934e+03
9.913968042047490599e+03,1.164746267497470853e+03
9.913968060151153622e+03,1.164782645681880240e+03
9.913968078254816646e+03,1.164819024132458253e+03
9.913968096358477851e+03,1.164855402845365461e+03
9.913968114462140875e+03,1.164891781827728892e+03
9.913968132565802080e+03,1.164928161072054081e+03
9.913968150669465103e+03,1.164964540585468740e+03
9.913968168773126308e+03,1.165000920360478403e+03
9.913968186876789332e+03,1.165037300404209645e+03
9.913968204980450537e+03,1.165073680709168457e+03
9.913968223084113561e+03,1.165110061282482320e+03
9.913968241187776584e+03,1.165146442120312031e+03
9.913968259291437789e+03,1.165182823218818612e+03
9.913968277395100813e+03,1.165219204585128864e+03
9.913968295498762018e+03,1.165255586211748550e+03
9.913968313602425042e+03,1.165291968105805381e+03
9.913968331706086246e+03,1.165328350259803983e+03
9.913968349809749270e+03,1.165364732680872066e+03
9.913968367913410475e+03,1.165401115361515849e+03
9.913968386017073499e+03,1.165437498308861223e+03
9.913968404120736523e+03,1.165473881519069892e+03
9.913968422224397727e+03,1.165510264988302197e+03
9.913968440328060751e+03,1.165546648723686303e+03
9.913968458431721956e+03,1.165583032717726610e+03
9.913968476535384980e+03,1.165619416977551509e+03
9.913968494639046185e+03,1.165655801495665173e+03
9.913968512742709208e+03,1.165692186279195994e+03
9.913968530846370413e+03,1.165728571320648371e+03
9.913968548950033437e+03,1.165764956627150241e+03
9.913968567053696461e+03,1.165801342194862855e+03
9.913968585157357666e+03,1.165837728019945871e+03
9.913968603261020689e+03,1.165874114109527454e+03
9.913968621364681894e+03,1.165910500456112231e+03
9.913968639468344918e+03,1.165946887066828594e+03
9.913968657572006123e+03,1.165983273934180488e+03
9.913968675675669147e+03,1.166019661065296759e+03
9.913968693779330351e+03,1.166056048452681125e+03
9.913968711882993375e+03,1.166092436103462433e+03
9.913968729986656399e+03,1.166128824013800340e+03
9.913968748090317604e+03,1.166165212179855644e+03
9.913968766193980628e+03,1.166201600608756735e+03
9.913968784297641832e+03,1.166237989293007104e+03
9.913968802401304856e+03,1.166274378239736052e+03
9.913968820504966061e+03,1.166310767441447069e+03
9.913968838608629085e+03,1.166347156905268776e+03
9.913968856712292109e+03,1.166383546627361739e+03
9.913968874815953313e+03,1.166419936603885162e+03
9.913968892919616337e+03,1.166456326841969030e+03
9.913968911023277542e+03,1.166492717334115696e+03
9.913968929126940566e+03,1.166529108087454915e+03
9.913968947230601771e+03,1.166565499094490178e+03
9.913968965334264794e+03,1.166601890362350105e+03
9.913968983437925999e+03,1.166638281883538411e+03
9.913969001541589023e+03,1.166674673665183946e+03
9.913969019645252047e+03,1.166711065703446820e+03
9.913969037748913252e+03,1.166747457994486467e+03
9.913969055852576275e+03,1.166783850545432642e+03
9.913969073956237480e+03,1.166820243348787699e+03
9.913969092059900504e+03,1.166856636411681848e+03
9.913969110163561709e+03,1.166893029726617669e+03
9.913969128267224733e+03,1.166929423300724693e+03
9.913969146370885937e+03,1.166965817126505499e+03
9.913969164474548961e+03,1.167002211211090753e+03
9.913969182578211985e+03,1.167038605550638295e+03
9.913969200681873190e+03,1.167075000141309374e+03
9.913969218785536214e+03,1.167111394990232384e+03
9.913969236889197418e+03,1.167147790089910586e+03
9.913969254992860442e+03,1.167184185447473737e+03
9.913969273096521647e+03,1.167220581055423736e+03
9.913969291200184671e+03,1.167256976920891702e+03
9.913969309303845876e+03,1.167293373036378853e+03
9.913969327407508899e+03,1.167329769409015853e+03
9.913969345511171923e+03,1.167366166034961680e+03
9.913969363614833128e+03,1.167402562910375764e+03
9.913969381718496152e+03,1.167438960042387862e+03
9.913969399822157357e+03,1.167475357423501009e+03
9.913969417925820380e+03,1.167511755060844507e+03
9.913969436029481585e+03,1.167548152946920709e+03
9.913969454133144609e+03,1.167584551088860053e+03
9.913969472236805814e+03,1.167620949479163983e+03
9.913969490340468838e+03,1.167657348124963846e+03
9.913969508444131861e+03,1.167693747022417710e+03
9.913969526547793066e+03,1.167730146167685007e+03
9.913969544651456090e+03,1.167766545567896173e+03
9.913969562755117295e+03,1.167802945215553109e+03
9.913969580858780319e+03,1.167839345117786252e+03
9.913969598962441523e+03,1.167875745267097045e+03
9.913969617066104547e+03,1.167912145670616610e+03
9.913969635169765752e+03,1.167948546320845708e+03
9.913969653273428776e+03,1.167984947224916141e+03
9.913969671377091800e+03,1.168021348378985977e+03
9.913969689480753004e+03,1.168057749779214191e+03
9.913969707584416028e+03,1.168094151432731678e+03
9.913969725688077233e+03,1.168130553332039199e+03
9.913969743791740257e+03,1.168166955484268556e+03
9.913969761895401462e+03,1.168203357881920510e+03
9.913969779999064485e+03,1.168239760532126411e+03
9.913969798102725690e+03,1.168276163427386564e+03
9.913969816206388714e+03,1.168312566574832999e+03
9.913969834310051738e+03,1.168348969970624239e+03
9.913969852413712943e+03,1.168385373610917895e+03
9.913969870517375966e+03,1.168421777502845998e+03
9.913969888621037171e+03,1.168458181638909309e+03
9.913969906724700195e+03,1.168494586026239176e+03
9.913969924828361400e+03,1.168530990657335678e+03
9.913969942932024423e+03,1.168567395539331528e+03
9.913969961035685628e+03,1.168603800664726350e+03
9.913969979139348652e+03,1.168640206040651947e+03
9.913969997243011676e+03,1.168676611663266840e+03
9.913970015346672881e+03,1.168713017528729097e+03
9.913970033450335904e+03,1.168749423644170292e+03
9.913970051553997109e+03,1.168785830002090961e+03
9.913970069657660133e+03,1.168822236609622678e+03
9.913970087761321338e+03,1.168858643459265977e+03
9.913970105864984362e+03,1.168895050558153116e+03
9.913970123968647385e+03,1.168931457902440798e+03
9.913970142072308590e+03,1.168967865488288680e+03
9.913970160175971614e+03,1.169004273322827885e+03
9.913970178279632819e+03,1.169040681398558263e+03
9.913970196383295843e+03,1.169077089722612754e+03
9.913970214486957047e+03,1.169113498287489847e+03
9.913970232590620071e+03,1.169149907100323389e+03
9.913970250694281276e+03,1.169186316153612097e+03
9.913970268797944300e+03,1.169222725454488227e+03
9.913970286901607324e+03,1.169259134999110756e+03
9.913970305005268528e+03,1.169295544783636160e+03
9.913970323108931552e+03,1.169331954815197150e+03
9.913970341212592757e+03,1.169368365086293807e+03
9.913970359316255781e+03,1.169404775604058386e+03
9.913970377419916986e+03,1.169441186360989832e+03
9.913970395523580009e+03,1.169477597364221538e+03
9.913970413627241214e+03,1.169514008606252446e+03
9.913970431730904238e+03,1.169550420094215042e+03
9.913970449834567262e+03,1.169586831824266937e+03
9.913970467938228467e+03,1.169623243792566200e+03
9.913970486041891490e+03,1.169659656006245086e+03
9.913970504145552695e+03,1.169696068457802539e+03
9.913970522249215719e+03,1.169732481154372636e+03
9.913970540352876924e+03,1.169768894088452953e+03
9.913970558456539948e+03,1.169805307267177341e+03
9.913970576560201152e+03,1.169841720683043604e+03
9.913970594663864176e+03,1.169878134343186275e+03
9.913970612767527200e+03,1.169914548243762056e+03
9.913970630871188405e+03,1.169950962380927876e+03
9.913970648974851429e+03,1.169987376761817586e+03
9.913970667078512633e+03,1.170023791378929218e+03
9.913970685182175657e+03,1.170060206239396848e+03
9.913970703285836862e+03,1.170096621335718282e+03
9.913970721389499886e+03,1.170133036675026688e+03
9.913970739493161091e+03,1.170169452249821006e+03
9.913970757596824114e+03,1.170205868067235087e+03
9.913970775700487138e+03,1.170242284123425861e+03
9.913970793804148343e+03,1.170278700414549121e+03
9.913970811907811367e+03,1.170315116947740080e+03
9.913970830011472572e+03,1.170351533715496316e+03
9.913970848115135595e+03,1.170387950724951679e+03
9.913970866218796800e+03,1.170424367968603519e+03
9.913970884322459824e+03,1.170460785453586368e+03
9.913970902426121029e+03,1.170497203172397803e+03
9.913970920529784053e+03,1.170533621132172357e+03
9.913970938633447076e+03,1.170570039329066049e+03
9.913970956737108281e+03,1.170606457759235809e+03
9.913970974840771305e+03,1.170642876429816624e+03
9.913970992944432510e+03,1.170679295333305163e+03
9.913971011048095534e+03,1.170715714476835728e+03
9.913971029151756738e+03,1.170752133852905672e+03
9.913971047255419762e+03,1.170788553468649980e+03
9.913971065359080967e+03,1.170824973316565320e+03
9.913971083462743991e+03,1.170861393403786451e+03
9.913971101566407015e+03,1.170897813726470304e+03
9.913971119670068219e+03,1.170934234280772671e+03
9.913971137773731243e+03,1.170970655073828311e+03
9.913971155877392448e+03,1.171007076098134576e+03
9.913971173981055472e+03,1.171043497360825540e+03
9.913971192084716677e+03,1.171079918854399239e+03
9.913971210188379700e+03,1.171116340585989292e+03
9.913971228292040905e+03,1.171152762548093051e+03
9.913971246395703929e+03,1.171189184747845502e+03
9.913971264499366953e+03,1.171225607181402438e+03
9.913971282603028158e+03,1.171262029844920789e+03
9.913971300706691181e+03,1.171298452745535315e+03
9.913971318810352386e+03,1.171334875875742455e+03
9.913971336914015410e+03,1.171371299242676969e+03
9.913971355017676615e+03,1.171407722838835980e+03
9.913971373121339639e+03,1.171444146671354702e+03
9.913971391225000843e+03,1.171480570732728665e+03
9.913971409328663867e+03,1.171516995030093995e+03
9.913971427432326891e+03,1.171553419559606255e+03
9.913971445535988096e+03,1.171589844317421694e+03
9.913971463639651120e+03,1.171626269310675980e+03
9.913971481743312324e+03,1.171662694531864418e+03
9.913971499846975348e+03,1.171699119988123130e+03
9.913971517950636553e+03,1.171735545671948103e+03
9.913971536054299577e+03,1.171771971590474323e+03
9.913971554157962601e+03,1.171808397739858947e+03
9.913971572261623805e+03,1.171844824116256632e+03
9.913971590365286829e+03,1.171881250726803046e+03
9.913971608468948034e+03,1.171917677563994403e+03
9.913971626572611058e+03,1.171954104634966598e+03
9.913971644676272263e+03,1.171990531932215390e+03
9.913971662779935286e+03,1.172026959462875993e+03
9.913971680883596491e+03,1.172063387219444621e+03
9.913971698987259515e+03,1.172099815209056942e+03
9.913971717090922539e+03,1.172136243427868749e+03
9.913971735194583744e+03,1.172172671872035380e+03
9.913971753298246767e+03,1.172209100548692959e+03
9.913971771401907972e+03,1.172245529450337017e+03
9.913971789505570996e+03,1.172281958584103904e+03
9.913971807609232201e+03,1.172318387942487789e+03
9.913971825712895225e+03,1.172354817532626612e+03
9.913971843816556429e+03,1.172391247347014314e+03
9.913971861920219453e+03,1.172427677392787245e+03
9.913971880023882477e+03,1.172464107666101199e+03
9.913971898127543682e+03,1.172500538163111742e+03
9.913971916231206706e+03,1.172536968890954768e+03
9.913971934334867910e+03,1.172573399842125127e+03
9.913971952438530934e+03,1.172609831023759853e+03
9.913971970542192139e+03,1.172646262428353566e+03
9.913971988645855163e+03,1.172682694063043073e+03
9.913972006749516368e+03,1.172719125920322995e+03
9.913972024853179391e+03,1.172755558007329228e+03
9.913972042956842415e+03,1.172791990320218702e+03
9.913972061060503620e+03,1.172828422855144709e+03
9.913972079164166644e+03,1.172864855619244963e+03
9.913972097267827849e+03,1.172901288605013860e+03
9.913972115371490872e+03,1.172937721819588432e+03
9.913972133475152077e+03,1.172974155255462847e+03
9.913972151578815101e+03,1.173010588919773909e+03
9.913972169682476306e+03,1.173047022805016468e+03
9.913972187786139330e+03,1.173083456918327101e+03
9.913972205889802353e+03,1.173119891255861148e+03
9.913972223993463558e+03,1.173156325813773037e+03
9.913972242097126582e+03,1.173192760599200255e+03
9.913972260200787787e+03,1.173229195604636743e+03
9.913972278304450811e+03,1.173265630837219987e+03
9.913972296408112015e+03,1.173302066289443474e+03
9.913972314511775039e+03,1.173338501968445144e+03
9.913972332615436244e+03,1.173374937866718938e+03
9.913972350719099268e+03,1.173411373991401433e+03
9.913972368822762292e+03,1.173447810338648196e+03
9.913972386926423496e+03,1.173484246904613201e+03
9.913972405030086520e+03,1.173520683696434617e+03
9.913972423133747725e+03,1.173557120706605929e+03
9.913972441237410749e+03,1.173593557942264624e+03
9.913972459341071954e+03,1.173629995395904189e+03
9.913972477444734977e+03,1.173666433074662109e+03
9.913972495548396182e+03,1.173702870971032780e+03
9.913972513652059206e+03,1.173739309092153007e+03
9.913972531755722230e+03,1.173775747434177902e+03
9.913972549859383435e+03,1.173812185993261437e+03
9.913972567963046458e+03,1.173848624776541783e+03
9.913972586066707663e+03,1.173885063776512652e+03
9.913972604170370687e+03,1.173921503000310850e+03
9.913972622274031892e+03,1.173957942440430088e+03
9.913972640377694916e+03,1.173994382104008764e+03
9.913972658481356120e+03,1.174030821983539681e+03
9.913972676585019144e+03,1.174067262086161236e+03
9.913972694688682168e+03,1.174103702408027175e+03
9.913972712792343373e+03,1.174140142945291927e+03
9.913972730896006397e+03,1.174176583705093890e+03
9.913972748999667601e+03,1.174213024679925866e+03
9.913972767103330625e+03,1.174249465876926024e+03
9.913972785206991830e+03,1.174285907288586941e+03
9.913972803310654854e+03,1.174322348922047922e+03
9.913972821414317877e+03,1.174358790773461806e+03
9.913972839517979082e+03,1.174395232838983702e+03
9.913972857621642106e+03,1.174431675125751781e+03
9.913972875725303311e+03,1.174468117626257936e+03
9.913972893828966335e+03,1.174504560347641700e+03
9.913972911932627539e+03,1.174541003282395423e+03
9.913972930036290563e+03,1.174577446437656818e+03
9.913972948139951768e+03,1.174613889805919371e+03
9.913972966243614792e+03,1.174650333394321024e+03
9.913972984347277816e+03,1.174686777199015751e+03
9.913973002450939020e+03,1.174723221216158208e+03
9.913973020554602044e+03,1.174759665452886111e+03
9.913973038658263249e+03,1.174796109901692489e+03
9.913973056761926273e+03,1.174832554569715739e+03
9.913973074865587478e+03,1.174868999449447983e+03
9.913973092969250501e+03,1.174905444548028754e+03
9.913973111072911706e+03,1.174941889857949036e+03
9.913973129176574730e+03,1.174978335386348817e+03
9.913973147280237754e+03,1.175014781129381163e+03
9.913973165383898959e+03,1.175051227083199819e+03
9.913973183487561982e+03,1.175087673254944320e+03
9.913973201591223187e+03,1.175124119637106105e+03
9.913973219694886211e+03,1.175160566236824707e+03
9.913973237798547416e+03,1.175197013046591110e+03
9.913973255902210440e+03,1.175233460073545530e+03
9.913973274005871644e+03,1.175269907310178951e+03
9.913973292109534668e+03,1.175306354763630907e+03
9.913973310213197692e+03,1.175342802430054917e+03
9.913973328316858897e+03,1.175379250305604501e+03
9.913973346420521921e+03,1.175415698397419192e+03
9.913973364524183125e+03,1.175452146697989974e+03
9.913973382627846149e+03,1.175488595214456609e+03
9.913973400731507354e+03,1.175525043939310308e+03
9.913973418835170378e+03,1.175561492879691059e+03
9.913973436938831583e+03,1.175597942028090074e+03
9.913973455042494606e+03,1.175634391391646432e+03
9.913973473146157630e+03,1.175670840966514106e+03
9.913973491249818835e+03,1.175707290748845708e+03
9.913973509353481859e+03,1.175743740745781906e+03
