Time (BJD_TBD - 2450000), F_c/F_star (ppm)
1.065015158268269988e+04,5.450908541511261092e+02
1.065015160397302498e+04,5.450980169976148773e+02
1.065015162526334825e+04,5.451051790589860957e+02
1.065015164655367153e+04,5.451123403358299129e+02
1.065015166784399480e+04,5.451195008281243872e+02
1.065015168913431808e+04,5.451266605358476909e+02
1.065015171042464135e+04,5.451338194589781097e+02
1.065015173171496463e+04,5.451409775974935883e+02
1.065015175300528790e+04,5.451481349513725263e+02
1.065015177429561118e+04,5.451552915205927548e+02
1.065015179558593627e+04,5.451624473057441946e+02
1.065015181687625955e+04,5.451696023055820888e+02
1.065015183816658282e+04,5.451767565206957897e+02
1.065015185945690610e+04,5.451839099510638107e+02
1.065015188074722937e+04,5.451910625966640964e+02
1.065015190203755265e+04,5.451982144574748190e+02
1.065015192332787592e+04,5.452053655334744917e+02
1.065015194461819920e+04,5.452125158246408319e+02
1.065015196590852247e+04,5.452196653309522389e+02
1.065015198719884756e+04,5.452268140529977245e+02
1.065015200848917084e+04,5.452339619895337819e+02
1.065015202977949411e+04,5.452411091411495363e+02
1.065015205106981739e+04,5.452482555078231599e+02
1.065015207236014066e+04,5.452554010895327110e+02
1.065015209365046394e+04,5.452625458862564756e+02
1.065015211494078721e+04,5.452696898979727393e+02
1.065015213623111049e+04,5.452768331246595608e+02
1.065015215752143376e+04,5.452839755662952257e+02
1.065015217881175886e+04,5.452911172234680635e+02
1.065015220010208213e+04,5.452982580949359317e+02
1.065015222139240541e+04,5.453053981812872735e+02
1.065015224268272868e+04,5.453125374825003746e+02
1.065015226397305196e+04,5.453196759985532935e+02
1.065015228526337523e+04,5.453268137294243161e+02
1.065015230655369851e+04,5.453339506750916144e+02
1.065015232784402178e+04,5.453410868355335879e+02
1.065015234913434506e+04,5.453482222107282951e+02
1.065015237042467015e+04,5.453553568012636106e+02
1.065015239171499343e+04,5.453624906058985289e+02
1.065015241300531670e+04,5.453696236252209246e+02
1.065015243429563998e+04,5.453767558592090836e+02
1.065015245558596325e+04,5.453838873078411780e+02
1.065015247687628653e+04,5.453910179710954935e+02
1.065015249816660980e+04,5.453981478489502024e+02
1.065015251945693308e+04,5.454052769413835904e+02
1.065015254074725635e+04,5.454124052483739433e+02
1.065015256203758145e+04,5.454195327705084537e+02
1.065015258332790472e+04,5.454266595065473666e+02
1.065015260461822800e+04,5.454337854570781019e+02
1.065015262590855127e+04,5.454409106220787180e+02
1.065015264719887455e+04,5.454480350015275008e+02
1.065015266848919782e+04,5.454551585954028496e+02
1.065015268977952110e+04,5.454622814036828231e+02
1.065015271106984437e+04,5.454694034263459343e+02
1.065015273236016765e+04,5.454765246633703555e+02
1.065015275365049274e+04,5.454836451153425969e+02
1.065015277494081602e+04,5.454907647810242679e+02
1.065015279623113929e+04,5.454978836610019926e+02
1.065015281752146257e+04,5.455050017552542840e+02
1.065015283881178584e+04,5.455121190637590871e+02
1.065015286010210912e+04,5.455192355864949150e+02
1.065015288139243239e+04,5.455263513234400534e+02
1.065015290268275567e+04,5.455334662745725609e+02
1.065015292397307894e+04,5.455405804398710643e+02
1.065015294526340404e+04,5.455476938199212782e+02
1.065015296655372731e+04,5.455548064134862898e+02
1.065015298784405059e+04,5.455619182211520410e+02
1.065015300913437386e+04,5.455690292428965904e+02
1.065015303042469714e+04,5.455761394786985647e+02
1.065015305171502041e+04,5.455832489285361362e+02
1.065015307300534369e+04,5.455903575923878179e+02
1.065015309429566696e+04,5.455974654702315547e+02
1.065015311558599024e+04,5.456045725620459734e+02
1.065015313687631533e+04,5.456116788684162202e+02
1.065015315816663860e+04,5.456187843881065191e+02
1.065015317945696188e+04,5.456258891217024711e+02
1.065015320074728515e+04,5.456329930691822483e+02
1.065015322203760843e+04,5.456400962305241364e+02
1.065015324332793170e+04,5.456471986057065351e+02
1.065015326461825498e+04,5.456543001947077300e+02
1.065015328590857825e+04,5.456614009975061208e+02
1.065015330719890153e+04,5.456685010140799932e+02
1.065015332848922662e+04,5.456756002450141523e+02
1.065015334977954990e+04,5.456826986890739590e+02
1.065015337106987317e+04,5.456897963468443322e+02
1.065015339236019645e+04,5.456968932183034440e+02
1.065015341365051972e+04,5.457039893034298075e+02
1.065015343494084300e+04,5.457110846022017085e+02
1.065015345623116627e+04,5.457181791145976604e+02
1.065015347752148955e+04,5.457252728405957214e+02
1.065015349881181282e+04,5.457323657801744048e+02
1.065015352010213792e+04,5.457394579339179472e+02
1.065015354139246119e+04,5.457465493005928465e+02
1.065015356268278447e+04,5.457536398807835667e+02
1.065015358397310774e+04,5.457607296744682799e+02
1.065015360526343102e+04,5.457678186816253856e+02
1.065015362655375429e+04,5.457749069022333970e+02
1.065015364784407757e+04,5.457819943362704862e+02
1.065015366913440084e+04,5.457890809837151664e+02
1.065015369042472412e+04,5.457961668445459509e+02
1.065015371171504921e+04,5.458032519193460530e+02
1.065015373300537249e+04,5.458103362068836759e+02
1.065015375429569576e+04,5.458174197077422605e+02
1.065015377558601904e+04,5.458245024219004335e+02
1.065015379687634231e+04,5.458315843493364810e+02
1.065015381816666559e+04,5.458386654900286885e+02
1.065015383945698886e+04,5.458457458439555694e+02
1.065015386074731214e+04,5.458528254110955231e+02
1.065015388203763541e+04,5.458599041914268355e+02
1.065015390332796051e+04,5.458669821855328337e+02
1.065015392461828378e+04,5.458740593921821755e+02
1.065015394590860706e+04,5.458811358119583019e+02
1.065015396719893033e+04,5.458882114448393850e+02
1.065015398848925361e+04,5.458952862908040515e+02
1.065015400977957688e+04,5.459023603498305874e+02
1.065015403106990016e+04,5.459094336218973922e+02
1.065015405236022343e+04,5.459165061069829790e+02
1.065015407365054671e+04,5.459235778050657473e+02
1.065015409494087180e+04,5.459306487167281148e+02
1.065015411623119508e+04,5.459377188407403310e+02
1.065015413752151835e+04,5.459447881776849272e+02
1.065015415881184163e+04,5.459518567275404166e+02
1.065015418010216490e+04,5.459589244902853125e+02
1.065015420139248818e+04,5.459659914658977868e+02
1.065015422268281145e+04,5.459730576543565803e+02
