Time (BJD_TBD - 2450000), L_c/L_star (ppm)
1.014864918537676022e+04,3.473424058578735298e+02
1.014864920625153354e+04,3.473520445265202738e+02
1.014864922712630505e+04,3.473616828186417820e+02
1.014864924800107838e+04,3.473713207358896966e+02
1.014864926887585170e+04,3.473809582773957914e+02
1.014864928975062321e+04,3.473905954422920104e+02
1.014864931062539654e+04,3.474002322322298255e+02
1.014864933150016986e+04,3.474098686463407830e+02
1.014864935237494137e+04,3.474195046837574523e+02
1.014864937324971470e+04,3.474291403461304526e+02
1.014864939412448621e+04,3.474387756317526623e+02
1.014864941499925953e+04,3.474484105422747575e+02
1.014864943587403286e+04,3.474580450768289097e+02
1.014864945674880437e+04,3.474676792345474041e+02
1.014864947762357770e+04,3.474773130170809736e+02
1.014864949849835102e+04,3.474869464235619034e+02
1.014864951937312253e+04,3.474965794531224788e+02
1.014864954024789586e+04,3.475062121074132619e+02
1.014864956112266918e+04,3.475158443855664814e+02
1.014864958199744069e+04,3.475254762867147633e+02
1.014864960287221402e+04,3.475351078125084427e+02
1.014864962374698553e+04,3.475447389612405686e+02
1.014864964462175885e+04,3.475543697345616465e+02
1.014864966549653218e+04,3.475640001316039616e+02
1.014864968637130369e+04,3.475736301515001401e+02
1.014864970724607701e+04,3.475832597959003465e+02
1.014864972812085034e+04,3.475928890639370366e+02
1.014864974899562185e+04,3.476025179547430071e+02
1.014864976987039518e+04,3.476121464699681383e+02
1.014864979074516850e+04,3.476217746087450564e+02
1.014864981161994001e+04,3.476314023702066720e+02
1.014864983249471334e+04,3.476410297560025811e+02
1.014864985336948484e+04,3.476506567644266852e+02
1.014864987424425817e+04,3.476602833971284667e+02
1.014864989511903150e+04,3.476699096532410636e+02
1.014864991599380301e+04,3.476795355318972156e+02
1.014864993686857633e+04,3.476891610347463484e+02
1.014864995774334966e+04,3.476987861609213724e+02
1.014864997861812117e+04,3.477084109095554254e+02
1.014864999949289449e+04,3.477180352822976488e+02
1.014865002036766782e+04,3.477276592782811235e+02
1.014865004124243933e+04,3.477372828966389875e+02
1.014865006211721266e+04,3.477469061390204388e+02
1.014865008299198416e+04,3.477565290037196633e+02
1.014865010386675749e+04,3.477661514923859727e+02
1.014865012474153082e+04,3.477757736041522207e+02
1.014865014561630232e+04,3.477853953381521137e+02
1.014865016649107565e+04,3.477950166960339402e+02
1.014865018736584898e+04,3.478046376769312928e+02
1.014865020824062049e+04,3.478142582799775369e+02
1.014865022911539381e+04,3.478238785068211882e+02
1.014865024999016714e+04,3.478334983565955554e+02
1.014865027086493865e+04,3.478431178284343446e+02
1.014865029173971197e+04,3.478527369239857308e+02
1.014865031261448348e+04,3.478623556415449798e+02
1.014865033348925681e+04,3.478719739827605508e+02
1.014865035436403014e+04,3.478815919467656954e+02
1.014865037523880164e+04,3.478912095326943472e+02
1.014865039611357497e+04,3.479008267421943401e+02
1.014865041698834830e+04,3.479104435743995509e+02
1.014865043786311981e+04,3.479200600284435154e+02
1.014865045873789313e+04,3.479296761059742380e+02
1.014865047961266646e+04,3.479392918061253681e+02
1.014865050048743797e+04,3.479489071280309531e+02
1.014865052136221129e+04,3.479585220733384290e+02
1.014865054223698280e+04,3.479681366403441416e+02
1.014865056311175613e+04,3.479777508306951859e+02
1.014865058398652945e+04,3.479873646435257228e+02
1.014865060486130096e+04,3.479969780779698567e+02
1.014865062573607429e+04,3.480065911356746824e+02
1.014865064661084762e+04,3.480162038157745883e+02
