Time (BJD_TBD - 2450000), F_total/F_star (ppm)
1.027330947285372713e+04,3.403426957965050406e+02
1.027330955913318758e+04,3.403360344171344423e+02
1.027330964541264984e+04,3.403293732857062537e+02
1.027330973169211029e+04,3.403227124026636261e+02
1.027330981797157256e+04,3.403160517678876431e+02
1.027330990425103300e+04,3.403093913818210012e+02
1.027330999053049527e+04,3.403027312443451251e+02
1.027331007680995572e+04,3.402960713559027113e+02
1.027331016308941616e+04,3.402894117165152466e+02
1.027331024936887843e+04,3.402827523262043883e+02
1.027331033564833888e+04,3.402760931854127762e+02
1.027331042192780114e+04,3.402694342940217211e+02
1.027331050820726159e+04,3.402627756524739198e+02
1.027331059448672386e+04,3.402561172606504556e+02
1.027331068076618430e+04,3.402494591189939115e+02
1.027331076704564657e+04,3.402428012273856552e+02
1.027331085332510702e+04,3.402361435862682129e+02
1.027331093960456928e+04,3.402294861955225542e+02
1.027331102588402973e+04,3.402228290555914896e+02
1.027331111216349018e+04,3.402161721664964489e+02
1.027331119844295245e+04,3.402095155282589189e+02
1.027331128472241289e+04,3.402028591413214258e+02
1.027331137100187516e+04,3.401962030055651667e+02
1.027331145728133561e+04,3.401895471214324402e+02
1.027331154356079787e+04,3.401828914888046711e+02
1.027331162984025832e+04,3.401762361081241011e+02
1.027331171611972059e+04,3.401695809792719274e+02
1.027331180239918103e+04,3.401629261026905624e+02
1.027331188867864330e+04,3.401562714782610328e+02
1.027331197495810375e+04,3.401496171064258078e+02
1.027331206123756601e+04,3.401429629870660847e+02
1.027331214751702646e+04,3.401363091206239915e+02
1.027331223379648691e+04,3.401296555071210150e+02
1.027331232007594917e+04,3.401230021465787559e+02
1.027331240635540962e+04,3.401163490394391715e+02
1.027331249263487189e+04,3.401096961855835730e+02
1.027331257891433233e+04,3.401030435854542020e+02
1.027331266519379460e+04,3.400963912389320285e+02
1.027331275147325505e+04,3.400897391464593511e+02
1.027331283775271731e+04,3.400830873079173102e+02
1.027331292403217776e+04,3.400764357237478634e+02
1.027331301031164003e+04,3.400697843938322649e+02
1.027331309659110048e+04,3.400631333186126426e+02
1.027331318287056092e+04,3.400564824981103129e+02
1.027331326915002319e+04,3.400498319323465353e+02
1.027331335542948364e+04,3.400431816217634378e+02
1.027331344170894590e+04,3.400365315662420471e+02
1.027331352798840635e+04,3.400298817662243778e+02
1.027331361426786862e+04,3.400232322215917407e+02
1.027331370054732906e+04,3.400165829327858091e+02
1.027331378682679133e+04,3.400099338996878373e+02
1.027331387310625178e+04,3.400032851227395554e+02
1.027331395938571404e+04,3.399966366018223312e+02
1.027331404566517449e+04,3.399899883373777811e+02
1.027331413194463494e+04,3.399833403294275058e+02
1.027331421822409720e+04,3.399766925779923099e+02
1.027331430450355765e+04,3.399700450835144352e+02
1.027331439078301992e+04,3.399633978458747947e+02
1.027331447706248036e+04,3.399567508655150618e+02
1.027331456334194263e+04,3.399501041423166612e+02
1.027331464962140308e+04,3.399434576767208682e+02
1.027331473590086534e+04,3.399368114686091076e+02
1.027331482218032579e+04,3.399301655184228252e+02
1.027331490845978806e+04,3.399235198260433322e+02
1.027331499473924850e+04,3.399168743919121312e+02
1.027331508101871077e+04,3.399102292159103058e+02
1.027331516729817122e+04,3.399035842984794726e+02
1.027331525357763167e+04,3.398969396396408342e+02
1.027331533985709393e+04,3.398902952394157069e+02
1.027331542613655438e+04,3.398836510982453660e+02
1.027331551241601665e+04,3.398770072160112363e+02
1.027331559869547709e+04,3.398703635931544227e+02
1.027331568497493936e+04,3.398637202295563498e+02
1.027331577125439981e+04,3.398570771256581793e+02
1.027331585753386207e+04,3.398504342813412222e+02
1.027331594381332252e+04,3.398437916970468109e+02
1.027331603009278479e+04,3.398371493726559152e+02
1.027331611637224523e+04,3.398305073086099810e+02
1.027331620265170568e+04,3.398238655049301542e+02
1.027331628893116795e+04,3.398172239616375805e+02
1.027331637521062839e+04,3.398105826791734216e+02
1.027331646149009066e+04,3.398039416574189886e+02
1.027331654776955111e+04,3.397973008968153863e+02
1.027331663404901337e+04,3.397906603972436983e+02
1.027331672032847382e+04,3.397840201591451432e+02
1.027331680660793609e+04,3.397773801824007478e+02
1.027331689288739653e+04,3.397707404674517875e+02
1.027331697916685880e+04,3.397641010141792322e+02
1.027331706544631925e+04,3.397574618230242436e+02
1.027331715172578151e+04,3.397508228938679622e+02
1.027331723800524196e+04,3.397441842271512655e+02
1.027331732428470241e+04,3.397375458228954130e+02
1.027331741056416467e+04,3.397309076811213799e+02
1.027331749684362512e+04,3.397242698022702712e+02
1.027331758312308739e+04,3.397176321862230566e+02
1.027331766940254784e+04,3.397109948334206706e+02
1.027331775568201010e+04,3.397043577437442536e+02
1.027331784196147055e+04,3.396977209176347969e+02
1.027331792824093282e+04,3.396910843549732704e+02
1.027331801452039326e+04,3.396844480562004946e+02
1.027331810079985553e+04,3.396778120211976670e+02
1.027331818707931598e+04,3.396711762504055514e+02
1.027331827335877642e+04,3.396645407438451798e+02
1.027331835963823869e+04,3.396579055015375843e+02
1.027331844591769914e+04,3.396512705239234720e+02
1.027331853219716140e+04,3.396446358108839263e+02
1.027331861847662185e+04,3.396380013628596544e+02
1.027331870475608412e+04,3.396313671797317966e+02
1.027331879103554456e+04,3.396247332619409462e+02
1.027331887731500683e+04,3.396180996093681870e+02
1.027331896359446728e+04,3.396114662224541689e+02
1.027331904987392954e+04,3.396048331010800894e+02
