Time (BJD_TBD - 2450000), L_h/L_star (ppm)
9.880046084107383649e+03,6.675687399496127661e+00
9.880046102667109153e+03,6.675762625577553067e+00
9.880046121226836476e+03,6.675837851961325953e+00
9.880046139786561980e+03,6.675913078632691899e+00
9.880046158346289303e+03,6.675988305606393780e+00
9.880046176906014807e+03,6.676063532867683392e+00
9.880046195465742130e+03,6.676138760431303609e+00
9.880046214025467634e+03,6.676213988282508005e+00
9.880046232585194957e+03,6.676289216436036789e+00
9.880046251144920461e+03,6.676364444877142645e+00
9.880046269704647784e+03,6.676439673620569337e+00
9.880046288264373288e+03,6.676514902651564221e+00
9.880046306824100611e+03,6.676590131984873722e+00
9.880046325383826115e+03,6.676665361605748750e+00
9.880046343943551619e+03,6.676740591521556745e+00
9.880046362503278942e+03,6.676815821739674028e+00
9.880046381063004446e+03,6.676891052245345293e+00
9.880046399622731769e+03,6.676966283053315188e+00
9.880046418182457273e+03,6.677041514148836399e+00
9.880046436742184596e+03,6.677116745546650911e+00
9.880046455301910100e+03,6.677191977232006970e+00
9.880046473861637423e+03,6.677267209219654553e+00
9.880046492421362927e+03,6.677342441494841019e+00
9.880046510981090250e+03,6.677417674072309239e+00
9.880046529540815754e+03,6.677492906937308348e+00
9.880046548100543077e+03,6.677568140104583883e+00
9.880046566660268581e+03,6.677643373559388529e+00
9.880046585219994085e+03,6.677718607309086174e+00
9.880046603779721409e+03,6.677793841361056693e+00
9.880046622339446913e+03,6.677869075700543888e+00
9.880046640899174236e+03,6.677944310342291523e+00
9.880046659458899740e+03,6.678019545271552282e+00
9.880046678018627063e+03,6.678094780503067263e+00
9.880046696578352567e+03,6.678170016022088262e+00
9.880046715138079890e+03,6.678245251843363484e+00
9.880046733697805394e+03,6.678320487952137618e+00
9.880046752257532717e+03,6.678395724363154429e+00
9.880046770817258221e+03,6.678470961061669264e+00
9.880046789376985544e+03,6.678546198062420558e+00
9.880046807936711048e+03,6.678621435350660995e+00
9.880046826496436552e+03,6.678696672933759793e+00
9.880046845056163875e+03,6.678771910819093272e+00
9.880046863615889379e+03,6.678847148991904348e+00
9.880046882175616702e+03,6.678922387466937671e+00
9.880046900735342206e+03,6.678997626229447704e+00
9.880046919295069529e+03,6.679072865294174655e+00
9.880046937854795033e+03,6.679148104646367656e+00
9.880046956414522356e+03,6.679223344300780241e+00
9.880046974974247860e+03,6.679298584242652659e+00
9.880046993533975183e+03,6.679373824486729561e+00
9.880047012093700687e+03,6.679449065018264520e+00
9.880047030653428010e+03,6.679524305852001298e+00
9.880047049213153514e+03,6.679599546973186364e+00
9.880047067772879018e+03,6.679674788389196038e+00
9.880047086332606341e+03,6.679750030107400427e+00
9.880047104892331845e+03,6.679825272113045109e+00
9.880047123452059168e+03,6.679900514420873847e+00
9.880047142011784672e+03,6.679975757016140214e+00
9.880047160571511995e+03,6.680050999913588861e+00
9.880047179131237499e+03,6.680126243098464478e+00
9.880047197690964822e+03,6.680201486585521486e+00
9.880047216250690326e+03,6.680276730360001025e+00
9.880047234810417649e+03,6.680351974436646856e+00
9.880047253370143153e+03,6.680427218800714328e+00
9.880047271929870476e+03,6.680502463466943652e+00
9.880047290489595980e+03,6.680577708420584848e+00
9.880047309049321484e+03,6.680652953669015126e+00
9.880047327609048807e+03,6.680728199219597485e+00
9.880047346168774311e+03,6.680803445057582834e+00
9.880047364728501634e+03,6.680878691197718489e+00
9.880047383288227138e+03,6.680953937625250028e+00
9.880047401847954461e+03,6.681029184354930095e+00
9.880047420407679965e+03,6.681104431371997165e+00
9.880047438967407288e+03,6.681179678691207435e+00
9.880047457527132792e+03,6.681254926297801155e+00
9.880047476086860115e+03,6.681330174206526529e+00
9.880047494646585619e+03,6.681405422402633576e+00
9.880047513206312942e+03,6.681480670900865171e+00
9.880047531766038446e+03,6.681555919686472222e+00
9.880047550325763950e+03,6.681631168766829276e+00
9.880047568885491273e+03,6.681706418149300220e+00
9.880047587445216777e+03,6.681781667819136850e+00
9.880047606004944100e+03,6.681856917791088257e+00
9.880047624564669604e+03,6.681932168050395582e+00
9.880047643124396927e+03,6.682007418611808802e+00
9.880047661684122431e+03,6.682082669460583269e+00
9.880047680243849754e+03,6.682157920611452973e+00
9.880047698803575258e+03,6.682233172049671488e+00
9.880047717363302581e+03,6.682308423789985241e+00
9.880047735923028085e+03,6.682383675817637148e+00
9.880047754482755408e+03,6.682458928147386068e+00
9.880047773042480912e+03,6.682534180764465148e+00
9.880047791602206416e+03,6.682609433676258703e+00
9.880047810161933739e+03,6.682684686890127956e+00
9.880047828721659243e+03,6.682759940391322040e+00
9.880047847281386566e+03,6.682835194194598039e+00
9.880047865841112070e+03,6.682910448285190874e+00
9.880047884400839393e+03,6.682985702677851414e+00
9.880047902960564898e+03,6.683060957357834120e+00
9.880047921520292221e+03,6.683136212339876536e+00
9.880047940080017725e+03,6.683211467609229572e+00
9.880047958639745048e+03,6.683286723180637878e+00
9.880047977199470552e+03,6.683361979039350587e+00
9.880047995759197875e+03,6.683437235200117676e+00
9.880048014318923379e+03,6.683512491648181175e+00
9.880048032878648883e+03,6.683587748390916516e+00
9.880048051438376206e+03,6.683663005435694693e+00
9.880048069998101710e+03,6.683738262767758620e+00
9.880048088557829033e+03,6.683813520401865382e+00
9.880048107117554537e+03,6.683888778323252566e+00
9.880048125677281860e+03,6.683964036546670151e+00
9.880048144237007364e+03,6.684039295057370822e+00
9.880048162796734687e+03,6.684114553870093900e+00
9.880048181356460191e+03,6.684189812970086741e+00
9.880048199916187514e+03,6.684265072372102878e+00
9.880048218475913018e+03,6.684340332061381673e+00
9.880048237035640341e+03,6.684415592052676658e+00
9.880048255595365845e+03,6.684490852331236077e+00
9.880048274155091349e+03,6.684566112904422042e+00
9.880048292714818672e+03,6.684641373779617091e+00
9.880048311274544176e+03,6.684716634942061475e+00
9.880048329834271499e+03,6.684791896406506950e+00
9.880048348393997003e+03,6.684867158158197320e+00
9.880048366953724326e+03,6.684942420211884340e+00
9.880048385513449830e+03,6.685017682552809148e+00
9.880048404073177153e+03,6.685092945195720837e+00
9.880048422632902657e+03,6.685168208125865874e+00
9.880048441192629980e+03,6.685243471357997791e+00
9.880048459752355484e+03,6.685318734877352398e+00
9.880048478312082807e+03,6.685393998698684115e+00
9.880048496871808311e+03,6.685469262807245627e+00
9.880048515431533815e+03,6.685544527210393717e+00
9.880048533991261138e+03,6.685619791915516252e+00
9.880048552550986642e+03,6.685695056907844602e+00
9.880048571110713965e+03,6.685770322202139404e+00
9.880048589670439469e+03,6.685845587783642685e+00
9.880048608230166792e+03,6.685920853667103536e+00
9.880048626789892296e+03,6.685996119837763985e+00
9.880048645349619619e+03,6.686071386310374898e+00
9.880048663909345123e+03,6.686146653070180079e+00
