Time (BJD_TBD - 2450000), L_f/L_star (ppm)
9.889789588114934304e+03,1.695507304829453998e+00
9.889789604993935427e+03,1.695379732796671535e+00
9.889789621872938369e+03,1.695252165437181269e+00
9.889789638751941311e+03,1.695124602764746635e+00
9.889789655630944253e+03,1.694997044779383621e+00
9.889789672509947195e+03,1.694869491481108881e+00
9.889789689388950137e+03,1.694741942869947060e+00
9.889789706267953079e+03,1.694614398945902378e+00
9.889789723146956021e+03,1.694486859708999482e+00
9.889789740025957144e+03,1.694359325173002029e+00
9.889789756904960086e+03,1.694231795310427779e+00
9.889789773783963028e+03,1.694104270135052603e+00
9.889789790662965970e+03,1.693976749646876945e+00
9.889789807541968912e+03,1.693849233845933222e+00
9.889789824420971854e+03,1.693721722732230095e+00
9.889789841299974796e+03,1.693594216305783995e+00
9.889789858178977738e+03,1.693466714566610687e+00
9.889789875057978861e+03,1.693339217528474494e+00
9.889789891936981803e+03,1.693211725163909387e+00
9.889789908815984745e+03,1.693084237486666810e+00
9.889789925694987687e+03,1.692956754496771632e+00
9.889789942573990629e+03,1.692829276194231847e+00
9.889789959452993571e+03,1.692701802579072323e+00
9.889789976331996513e+03,1.692574333651309049e+00
9.889789993210999455e+03,1.692446869410954680e+00
9.889790010090000578e+03,1.692319409871764657e+00
9.889790026969003520e+03,1.692191955006281612e+00
9.889790043848006462e+03,1.692064504828260763e+00
9.889790060727009404e+03,1.691937059337722760e+00
9.889790077606012346e+03,1.691809618534676041e+00
9.889790094485015288e+03,1.691682182419144809e+00
9.889790111364018230e+03,1.691554750991145939e+00
9.889790128243021172e+03,1.691427324250687203e+00
9.889790145122022295e+03,1.691299902211524042e+00
9.889790162001025237e+03,1.691172484846211965e+00
9.889790178880028179e+03,1.691045072168493535e+00
9.889790195759031121e+03,1.690917664178393620e+00
9.889790212638034063e+03,1.690790260875920659e+00
9.889790229517037005e+03,1.690662862261098631e+00
9.889790246396039947e+03,1.690535468333940416e+00
9.889790263275042889e+03,1.690408079094462446e+00
9.889790280154044012e+03,1.690280694556415719e+00
9.889790297033046954e+03,1.690153314692351305e+00
9.889790313912049896e+03,1.690025939516020426e+00
9.889790330791052838e+03,1.689898569027439512e+00
9.889790347670055780e+03,1.689771203226624774e+00
9.889790364549058722e+03,1.689643842113593308e+00
9.889790381428061664e+03,1.689516485688361103e+00
9.889790398307064606e+03,1.689389133950948585e+00
9.889790415186065729e+03,1.689261786915090546e+00
9.889790432065068671e+03,1.689134444553359149e+00
9.889790448944071613e+03,1.689007106879496067e+00
9.889790465823074555e+03,1.688879773893519509e+00
9.889790482702077497e+03,1.688752445595440355e+00
9.889790499581080439e+03,1.688625121985283695e+00
9.889790516460083381e+03,1.688497803063057967e+00
9.889790533339086323e+03,1.688370488828788041e+00
9.889790550218087446e+03,1.688243179296203822e+00
9.889790567097090388e+03,1.688115874437889685e+00
9.889790583976093330e+03,1.687988574267572206e+00
9.889790600855096272e+03,1.687861278785279806e+00
9.889790617734099214e+03,1.687733987991021367e+00
9.889790634613102156e+03,1.687606701884816873e+00
9.889790651492105098e+03,1.687479420466682756e+00
9.889790668371108040e+03,1.687352143736635890e+00
9.889790685250109163e+03,1.687224871708410623e+00
9.889790702129112105e+03,1.687097604354586666e+00
9.889790719008115047e+03,1.686970341688903252e+00
9.889790735887117989e+03,1.686843083711372815e+00
9.889790752766120931e+03,1.686715830422015339e+00
9.889790769645123873e+03,1.686588581820843702e+00
9.889790786524126815e+03,1.686461337907882108e+00
9.889790803403129757e+03,1.686334098683139215e+00
9.889790820282130881e+03,1.686206864160349372e+00
9.889790837161133823e+03,1.686079634312104947e+00
9.889790854040136765e+03,1.685952409152128517e+00
9.889790870919139707e+03,1.685825188680448283e+00
9.889790887798142649e+03,1.685697972897069130e+00
9.889790904677145591e+03,1.685570761802015038e+00
9.889790921556148533e+03,1.685443555395302884e+00
9.889790938435151475e+03,1.685316353676948875e+00
9.889790955314152598e+03,1.685189156660671372e+00
9.889790972193155540e+03,1.685061964319083172e+00
9.889790989072158482e+03,1.684934776665902412e+00
9.889791005951161424e+03,1.684807593701141304e+00
9.889791022830164366e+03,1.684680415424829381e+00
9.889791039709167308e+03,1.684553241836969750e+00
9.889791056588170250e+03,1.684426072937587726e+00
9.889791073467173192e+03,1.684298908726699517e+00
9.889791090346174315e+03,1.684171749218023040e+00
9.889791107225177257e+03,1.684044594384167759e+00
9.889791124104180199e+03,1.683917444238855810e+00
9.889791140983183141e+03,1.683790298782102957e+00
9.889791157862186083e+03,1.683663158013930516e+00
9.889791174741189025e+03,1.683536021934350480e+00
9.889791191620191967e+03,1.683408890543379499e+00
9.889791208499194909e+03,1.683281763841038003e+00
9.889791225378196032e+03,1.683154641841035692e+00
9.889791242257198974e+03,1.683027524515998241e+00
9.889791259136201916e+03,1.682900411879639346e+00
9.889791276015204858e+03,1.682773303931971887e+00
9.889791292894207800e+03,1.682646200673019843e+00
9.889791309773210742e+03,1.682519102102796094e+00
9.889791326652213684e+03,1.682392008221316848e+00
9.889791343531216626e+03,1.682264919028598538e+00
9.889791360410217749e+03,1.682137834538355525e+00
9.889791377289220691e+03,1.682010754723212820e+00
9.889791394168223633e+03,1.681883679596884118e+00
9.889791411047226575e+03,1.681756609159382299e+00
9.889791427926229517e+03,1.681629543410732008e+00
9.889791444805232459e+03,1.681502482350941019e+00
9.889791461684235401e+03,1.681375425980030425e+00
9.889791478563238343e+03,1.681248374298020432e+00
9.889791495442239466e+03,1.681121327318613190e+00
9.889791512321242408e+03,1.680994285014445477e+00
9.889791529200245350e+03,1.680867247399228326e+00
9.889791546079248292e+03,1.680740214472973060e+00
9.889791562958251234e+03,1.680613186235696777e+00
9.889791579837254176e+03,1.680486162687424123e+00
9.889791596716257118e+03,1.680359143828162649e+00
9.889791613595260060e+03,1.680232129657933671e+00
9.889791630474261183e+03,1.680105120190443113e+00
9.889791647353264125e+03,1.679978115398327754e+00
9.889791664232267067e+03,1.679851115295298181e+00
9.889791681111270009e+03,1.679724119881366606e+00
9.889791697990272951e+03,1.679597129156549240e+00
9.889791714869275893e+03,1.679470143120870951e+00
9.889791731748278835e+03,1.679343161774336179e+00
9.889791748627281777e+03,1.679216185116973348e+00
9.889791765506282900e+03,1.679089213162471506e+00
9.889791782385285842e+03,1.678962245883493409e+00
9.889791799264288784e+03,1.678835283293724556e+00
9.889791816143291726e+03,1.678708325393197143e+00
9.889791833022294668e+03,1.678581372181919829e+00
9.889791849901297610e+03,1.678454423659909045e+00
9.889791866780300552e+03,1.678327479827185442e+00
9.889791883659303494e+03,1.678200540683761011e+00
9.889791900538304617e+03,1.678073606243333460e+00
9.889791917417307559e+03,1.677946676478561105e+00
9.889791934296310501e+03,1.677819751403145654e+00
9.889791951175313443e+03,1.677692831017095321e+00
9.889791968054316385e+03,1.677565915320430756e+00
9.889791984933319327e+03,1.677439004313167725e+00
9.889792001812322269e+03,1.677312097995327989e+00
9.889792018691325211e+03,1.677185196366922870e+00
9.889792035570326334e+03,1.677058299441646527e+00
9.889792052449329276e+03,1.676931407192165047e+00
9.889792069328332218e+03,1.676804519632167478e+00
9.889792086207335160e+03,1.676677636761679357e+00
9.889792103086338102e+03,1.676550758580708012e+00
9.889792119965341044e+03,1.676423885089274535e+00
9.889792136844343986e+03,1.676297016287394914e+00
9.889792153723346928e+03,1.676170152175090244e+00
9.889792170602348051e+03,1.676043292766037363e+00
9.889792187481350993e+03,1.675916438032923450e+00
9.889792204360353935e+03,1.675789587989429119e+00
9.889792221239356877e+03,1.675662742635571023e+00
9.889792238118359819e+03,1.675535901971370034e+00
9.889792254997362761e+03,1.675409065996842140e+00
9.889792271876365703e+03,1.675282234712003993e+00
9.889792288755368645e+03,1.675155408116868472e+00
9.889792305634369768e+03,1.675028586225128180e+00
9.889792322513372710e+03,1.674901769009454089e+00
9.889792339392375652e+03,1.674774956483539690e+00
9.889792356271378594e+03,1.674648148647392976e+00
9.889792373150381536e+03,1.674521345501042813e+00
9.889792390029384478e+03,1.674394547044493864e+00
9.889792406908387420e+03,1.674267753277773885e+00
9.889792423787390362e+03,1.674140964200891979e+00
9.889792440666391485e+03,1.674014179827528759e+00
9.889792457545394427e+03,1.673887400130375624e+00
9.889792474424397369e+03,1.673760625123117629e+00
9.889792491303400311e+03,1.673633854805763210e+00
9.889792508182403253e+03,1.673507089178333018e+00
9.889792525061406195e+03,1.673380328240847259e+00
9.889792541940409137e+03,1.673253571993318145e+00
9.889792558819412079e+03,1.673126820435762552e+00
9.889792575698413202e+03,1.673000073581861535e+00
9.889792592577416144e+03,1.672873331404306052e+00
9.889792609456419086e+03,1.672746593916777158e+00
9.889792626335422028e+03,1.672619861119287510e+00
9.889792643214424970e+03,1.672493133011861755e+00
9.889792660093427912e+03,1.672366409594507886e+00
9.889792676972430854e+03,1.672239690867250772e+00
9.889792693851433796e+03,1.672112976830102404e+00
9.889792710730434919e+03,1.671986267496732070e+00
9.889792727609437861e+03,1.671859562839851154e+00
9.889792744488440803e+03,1.671732862873132275e+00
9.889792761367443745e+03,1.671606167596584092e+00
9.889792778246446687e+03,1.671479477010235470e+00
9.889792795125449629e+03,1.671352791114094405e+00
9.889792812004452571e+03,1.671226109908181545e+00
9.889792828883455513e+03,1.671099433392513101e+00
9.889792845762456636e+03,1.670972761580754362e+00
9.889792862641459578e+03,1.670846094445620489e+00
9.889792879520462520e+03,1.670719432000788318e+00
9.889792896399465462e+03,1.670592774246258738e+00
