Time (BJD_TBD - 2450000), L_d/L_star (ppm)
9.889745128821781691e+03,2.877605002005616441e+01
9.889745145700784633e+03,2.877799695236517863e+01
9.889745162579787575e+03,2.877994394066667283e+01
9.889745179458790517e+03,2.878189098495928988e+01
9.889745196337791640e+03,2.878383808503189201e+01
9.889745213216794582e+03,2.878578524130277572e+01
9.889745230095797524e+03,2.878773245356081034e+01
9.889745246974800466e+03,2.878967972180464940e+01
9.889745263853803408e+03,2.879162704603293932e+01
9.889745280732806350e+03,2.879357442624436558e+01
9.889745297611809292e+03,2.879552186243757106e+01
9.889745314490812234e+03,2.879746935461124835e+01
9.889745331369813357e+03,2.879941690255416020e+01
9.889745348248816299e+03,2.880136450668474168e+01
9.889745365127819241e+03,2.880331216679176265e+01
9.889745382006822183e+03,2.880525988287390149e+01
9.889745398885825125e+03,2.880720765492980462e+01
9.889745415764828067e+03,2.880915548295817885e+01
9.889745432643831009e+03,2.881110336695766705e+01
9.889745449522833951e+03,2.881305130692689076e+01
9.889745466401836893e+03,2.881499930286457101e+01
9.889745483280838016e+03,2.881694735455940659e+01
9.889745500159840958e+03,2.881889546242994982e+01
9.889745517038843900e+03,2.882084362626492080e+01
9.889745533917846842e+03,2.882279184606298017e+01
9.889745550796849784e+03,2.882474012182279566e+01
9.889745567675852726e+03,2.882668845354303144e+01
9.889745584554855668e+03,2.882863684122234815e+01
9.889745601433858610e+03,2.883058528485939931e+01
9.889745618312859733e+03,2.883253378424289437e+01
9.889745635191862675e+03,2.883448233979145314e+01
9.889745652070865617e+03,2.883643095129374245e+01
9.889745668949868559e+03,2.883837961874841582e+01
9.889745685828871501e+03,2.884032834215416585e+01
9.889745702707874443e+03,2.884227712150966383e+01
9.889745719586877385e+03,2.884422595681353130e+01
9.889745736465880327e+03,2.884617484806447152e+01
9.889745753344881450e+03,2.884812379505108737e+01
9.889745770223884392e+03,2.885007279819212656e+01
9.889745787102887334e+03,2.885202185727620616e+01
9.889745803981890276e+03,2.885397097230198682e+01
9.889745820860893218e+03,2.885592014326814692e+01
9.889745837739896160e+03,2.885786937017335063e+01
9.889745854618899102e+03,2.885981865301625504e+01
9.889745871497902044e+03,2.886176799179551011e+01
9.889745888376903167e+03,2.886371738629971517e+01
9.889745905255906109e+03,2.886566683694770319e+01
9.889745922134909051e+03,2.886761634352802730e+01
9.889745939013911993e+03,2.886956590603936945e+01
9.889745955892914935e+03,2.887151552448037961e+01
9.889745972771917877e+03,2.887346519884975393e+01
9.889745989650920819e+03,2.887541492914613173e+01
9.889746006529923761e+03,2.887736471536815586e+01
9.889746023408924884e+03,2.887931455730440078e+01
9.889746040287927826e+03,2.888126445537375631e+01
9.889746057166930768e+03,2.888321440936476492e+01
9.889746074045933710e+03,2.888516441927609080e+01
9.889746090924936652e+03,2.888711448510640523e+01
9.889746107803939594e+03,2.888906460685436528e+01
9.889746124682942536e+03,2.889101478451862803e+01
9.889746141561945478e+03,2.889296501809785767e+01
9.889746158440946601e+03,2.889491530738053626e+01
9.889746175319949543e+03,2.889686565278569219e+01
