Time (BJD_TBD - 2450000), F_star + F_b (mJy)
9.882597419550951599e+03,3.862665871630753589e+00
9.882597437566641020e+03,3.862665912979621474e+00
9.882597455582332259e+03,3.862665954321795159e+00
9.882597473598021679e+03,3.862665995657265761e+00
9.882597491613712918e+03,3.862666036986041718e+00
9.882597509629404158e+03,3.862666078308118145e+00
9.882597527645093578e+03,3.862666119623491490e+00
9.882597545660784817e+03,3.862666160932169301e+00
9.882597563676474238e+03,3.862666202234142698e+00
9.882597581692165477e+03,3.862666243529420118e+00
9.882597599707854897e+03,3.862666284817993567e+00
9.882597617723546136e+03,3.862666326099869707e+00
9.882597635739237376e+03,3.862666367375045429e+00
9.882597653754926796e+03,3.862666408643516291e+00
9.882597671770618035e+03,3.862666449905289401e+00
9.882597689786307456e+03,3.862666491160357651e+00
9.882597707801998695e+03,3.862666532408728148e+00
9.882597725817688115e+03,3.862666573650392454e+00
9.882597743833379354e+03,3.862666614885358118e+00
9.882597761849070594e+03,3.862666656113622032e+00
9.882597779864760014e+03,3.862666697335178423e+00
9.882597797880451253e+03,3.862666738550037060e+00
9.882597815896140673e+03,3.862666779758187285e+00
9.882597833911831913e+03,3.862666820959638869e+00
9.882597851927521333e+03,3.862666862154382930e+00
9.882597869943212572e+03,3.862666903342427016e+00
9.882597887958903812e+03,3.862666944523767132e+00
9.882597905974593232e+03,3.862666985698398836e+00
9.882597923990284471e+03,3.862667026866330566e+00
9.882597942005973891e+03,3.862667068027552553e+00
9.882597960021665131e+03,3.862667109182074121e+00
9.882597978037354551e+03,3.862667150329886834e+00
9.882597996053045790e+03,3.862667191470997796e+00
9.882598014068737029e+03,3.862667232605403012e+00
9.882598032084426450e+03,3.862667273733097595e+00
9.882598050100117689e+03,3.862667314854091316e+00
9.882598068115807109e+03,3.862667355968373517e+00
9.882598086131498349e+03,3.862667397075953968e+00
9.882598104147187769e+03,3.862667438176823342e+00
9.882598122162879008e+03,3.862667479270989634e+00
9.882598140178570247e+03,3.862667520358449291e+00
9.882598158194259668e+03,3.862667561439196540e+00
9.882598176209950907e+03,3.862667602513239817e+00
9.882598194225640327e+03,3.862667643580572463e+00
9.882598212241331566e+03,3.862667684641199362e+00
9.882598230257020987e+03,3.862667725695114296e+00
9.882598248272712226e+03,3.862667766742325703e+00
9.882598266288403465e+03,3.862667807782827367e+00
9.882598284304092886e+03,3.862667848816614846e+00
9.882598302319784125e+03,3.862667889843698354e+00
9.882598320335473545e+03,3.862667930864067678e+00
9.882598338351164784e+03,3.862667971877731254e+00
9.882598356366854205e+03,3.862668012884680646e+00
9.882598374382545444e+03,3.862668053884923847e+00
9.882598392398236683e+03,3.862668094878457747e+00
9.882598410413926104e+03,3.862668135865274799e+00
9.882598428429617343e+03,3.862668176845386103e+00
9.882598446445306763e+03,3.862668217818782335e+00
9.882598464460998002e+03,3.862668258785470599e+00
9.882598482476687423e+03,3.862668299745443790e+00
9.882598500492378662e+03,3.862668340698708569e+00
9.882598518508069901e+03,3.862668381645261384e+00
9.882598536523759321e+03,3.862668422585097794e+00
9.882598554539450561e+03,3.862668463518225348e+00
9.882598572555139981e+03,3.862668504444636497e+00
9.882598590570831220e+03,3.862668545364338346e+00
9.882598608586520641e+03,3.862668586277322458e+00
9.882598626602211880e+03,3.862668627183598158e+00
9.882598644617903119e+03,3.862668668083159673e+00
9.882598662633592539e+03,3.862668708976003451e+00
9.882598680649283779e+03,3.862668749862136597e+00
9.882598698664973199e+03,3.862668790741551561e+00
9.882598716680664438e+03,3.862668831614255893e+00
9.882598734696353858e+03,3.862668872480241156e+00
9.882598752712045098e+03,3.862668913339515342e+00
9.882598770727736337e+03,3.862668954192074011e+00
9.882598788743425757e+03,3.862668995037913611e+00
9.882598806759116997e+03,3.862669035877040802e+00
9.882598824774806417e+03,3.862669076709448479e+00
9.882598842790497656e+03,3.862669117535144636e+00
9.882598860806187076e+03,3.862669158354119059e+00
9.882598878821878316e+03,3.862669199166380629e+00
9.882598896837569555e+03,3.862669239971925794e+00
9.882598914853258975e+03,3.862669280770750113e+00
9.882598932868950214e+03,3.862669321562860691e+00
9.882598950884639635e+03,3.862669362348249535e+00
9.882598968900330874e+03,3.862669403126924639e+00
9.882598986916020294e+03,3.862669443898878008e+00
9.882599004931711534e+03,3.862669484664116748e+00
9.882599022947402773e+03,3.862669525422636418e+00
9.882599040963092193e+03,3.862669566174433911e+00
9.882599058978783432e+03,3.862669606919516330e+00
9.882599076994472853e+03,3.862669647657875682e+00
9.882599095010164092e+03,3.862669688389519074e+00
9.882599113025853512e+03,3.862669729114439399e+00
9.882599131041544751e+03,3.862669769832643318e+00
9.882599149057235991e+03,3.862669810544127280e+00
9.882599167072925411e+03,3.862669851248887287e+00
9.882599185088616650e+03,3.862669891946929557e+00
9.882599203104306071e+03,3.862669932638247872e+00
9.882599221119997310e+03,3.862669973322849337e+00
9.882599239135686730e+03,3.862670014000725072e+00
9.882599257151377969e+03,3.862670054671883069e+00
9.882599275167069209e+03,3.862670095336319331e+00
9.882599293182758629e+03,3.862670135994030751e+00
9.882599311198449868e+03,3.862670176645022657e+00
9.882599329214139289e+03,3.862670217289288388e+00
9.882599347229830528e+03,3.862670257926835493e+00
9.882599365245519948e+03,3.862670298557656423e+00
9.882599383261211187e+03,3.862670339181757839e+00
9.882599401276902427e+03,3.862670379799135301e+00
9.882599419292591847e+03,3.862670420409785699e+00
9.882599437308283086e+03,3.862670461013716583e+00
9.882599455323972506e+03,3.862670501610919072e+00
9.882599473339663746e+03,3.862670542201401602e+00
9.882599491355353166e+03,3.862670582785154849e+00
9.882599509371044405e+03,3.862670623362188138e+00
9.882599527386733826e+03,3.862670663932492143e+00
9.882599545402425065e+03,3.862670704496075302e+00
9.882599563418116304e+03,3.862670745052932730e+00
9.882599581433805724e+03,3.862670785603060875e+00
9.882599599449496964e+03,3.862670826146467284e+00
9.882599617465186384e+03,3.862670866683142634e+00
9.882599635480877623e+03,3.862670907213096694e+00
9.882599653496567043e+03,3.862670947736320137e+00
9.882599671512258283e+03,3.862670988252820514e+00
9.882599689527949522e+03,3.862671028762594272e+00
9.882599707543638942e+03,3.862671069265636081e+00
9.882599725559330182e+03,3.862671109761955712e+00
9.882599743575019602e+03,3.862671150251542063e+00
