Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.905200088551520821e+03,7.298942475195611905e+02
9.905200109881199751e+03,7.299173205023307673e+02
9.905200131210880500e+03,7.299403909801961845e+02
9.905200152540559429e+03,7.299634589490405006e+02
9.905200173870238359e+03,7.299865244106501905e+02
9.905200195199917289e+03,7.300095873648434690e+02
9.905200216529596219e+03,7.300326478114394604e+02
9.905200237859276967e+03,7.300557057522223658e+02
9.905200259188955897e+03,7.300787611830783135e+02
9.905200280518634827e+03,7.301018141057924140e+02
9.905200301848313757e+03,7.301248645201829959e+02
9.905200323177992686e+03,7.301479124260690696e+02
9.905200344507671616e+03,7.301709578232688500e+02
9.905200365837352365e+03,7.301940007135664246e+02
9.905200387167031295e+03,7.302170410928504225e+02
9.905200408496710224e+03,7.302400789629042492e+02
9.905200429826389154e+03,7.302631143235468016e+02
9.905200451156068084e+03,7.302861471745970903e+02
9.905200472485748833e+03,7.303091775178376110e+02
9.905200493815427762e+03,7.303322053491590395e+02
9.905200515145106692e+03,7.303552306703444401e+02
9.905200536474785622e+03,7.303782534812127096e+02
9.905200557804464552e+03,7.304012737815825176e+02
9.905200579134143481e+03,7.304242915712729882e+02
9.905200600463824230e+03,7.304473068520652532e+02
9.905200621793503160e+03,7.304703196198532851e+02
9.905200643123182090e+03,7.304933298764185565e+02
9.905200664452861020e+03,7.305163376215800781e+02
9.905200685782539949e+03,7.305393428551566330e+02
9.905200707112220698e+03,7.305623455789290119e+02
9.905200728441899628e+03,7.305853457887927789e+02
9.905200749771578558e+03,7.306083434865288382e+02
9.905200771101257487e+03,7.306313386719560867e+02
9.905200792430936417e+03,7.306543313448938761e+02
9.905200813760617166e+03,7.306773215071215191e+02
9.905200835090296096e+03,7.307003091545371944e+02
9.905200856419975025e+03,7.307232942889203287e+02
9.905200877749653955e+03,7.307462769100905007e+02
9.905200899079332885e+03,7.307692570178666074e+02
9.905200920409011815e+03,7.307922346120678867e+02
9.905200941738692563e+03,7.308152096944727418e+02
9.905200963068371493e+03,7.308381822609820802e+02
9.905200984398050423e+03,7.308611523133740775e+02
9.905201005727729353e+03,7.308841198514685402e+02
9.905201027057408282e+03,7.309070848750841378e+02
9.905201048387089031e+03,7.309300473859989324e+02
9.905201069716767961e+03,7.309530073801155368e+02
9.905201091046446891e+03,7.309759648592115582e+02
9.905201112376125820e+03,7.309989198231062346e+02
9.905201133705804750e+03,7.310218722716192588e+02
9.905201155035483680e+03,7.310448222045698685e+02
9.905201176365164429e+03,7.310677696237345344e+02
9.905201197694843358e+03,7.310907145250183703e+02
9.905201219024522288e+03,7.311136569101984151e+02
9.905201240354201218e+03,7.311365967790939067e+02
9.905201261683880148e+03,7.311595341315244241e+02
9.905201283013560897e+03,7.311824689692653010e+02
9.905201304343239826e+03,7.312054012882238112e+02
9.905201325672918756e+03,7.312283310901763116e+02
9.905201347002597686e+03,7.312512583749420401e+02
9.905201368332276616e+03,7.312741831423404619e+02
9.905201389661955545e+03,7.312971053921913835e+02
9.905201410991636294e+03,7.313200251262688880e+02
9.905201432321315224e+03,7.313429423404833187e+02
9.905201453650994154e+03,7.313658570366094409e+02
9.905201474980673083e+03,7.313887692144666062e+02
9.905201496310352013e+03,7.314116788738746209e+02
9.905201517640032762e+03,7.314345860166066586e+02
9.905201538969711692e+03,7.314574906385754502e+02
9.905201560299390621e+03,7.314803927415545104e+02
9.905201581629069551e+03,7.315032923253635317e+02
9.905201602958748481e+03,7.315261893898224344e+02
