Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.891603395796930272e+03,1.214352204625443932e+01
9.891603418689264799e+03,1.214341222775840201e+01
9.891603441581601146e+03,1.214330240939355576e+01
9.891603464473935674e+03,1.214319259117734617e+01
9.891603487366272020e+03,1.214308277309235251e+01
9.891603510258606548e+03,1.214297295515601327e+01
9.891603533150942894e+03,1.214286313735087930e+01
9.891603556043277422e+03,1.214275331969442462e+01
9.891603578935613768e+03,1.214264350216919119e+01
9.891603601827950115e+03,1.214253368478392403e+01
9.891603624720284643e+03,1.214242386754734682e+01
9.891603647612620989e+03,1.214231405044201040e+01
9.891603670504955517e+03,1.214220423348538347e+01
9.891603693397291863e+03,1.214209441666001865e+01
9.891603716289626391e+03,1.214198459998337043e+01
9.891603739181962737e+03,1.214187478343798787e+01
9.891603762074297265e+03,1.214176496704134145e+01
9.891603784966633611e+03,1.214165515077597490e+01
9.891603807858968139e+03,1.214154533465935515e+01
9.891603830751304486e+03,1.214143551867402948e+01
9.891603853643640832e+03,1.214132570282874113e+01
9.891603876535975360e+03,1.214121588713221378e+01
9.891603899428311706e+03,1.214110607156700539e+01
9.891603922320646234e+03,1.214099625615056866e+01
9.891603945212982580e+03,1.214088644086545976e+01
9.891603968105317108e+03,1.214077662572914384e+01
9.891603990997653455e+03,1.214066681072416642e+01
9.891604013889987982e+03,1.214055699586799442e+01
9.891604036782324329e+03,1.214044718114318044e+01
9.891604059674660675e+03,1.214033736655845530e+01
9.891604082566995203e+03,1.214022755212254800e+01
9.891604105459331549e+03,1.214011773781801118e+01
9.891604128351666077e+03,1.214000792366231352e+01
9.891604151244002423e+03,1.213989810963800053e+01
9.891604174136336951e+03,1.213978829576253737e+01
9.891604197028673298e+03,1.213967848201847133e+01
9.891604219921007825e+03,1.213956866842326754e+01
9.891604242813344172e+03,1.213945885495948041e+01
9.891604265705680518e+03,1.213934904163584072e+01
9.891604288598015046e+03,1.213923922846107750e+01
9.891604311490351392e+03,1.213912941541774337e+01
9.891604334382685920e+03,1.213901960252330525e+01
9.891604357275022267e+03,1.213890978976031043e+01
9.891604380167356794e+03,1.213879997714622050e+01
9.891604403059693141e+03,1.213869016466358985e+01
9.891604425952027668e+03,1.213858035232987831e+01
9.891604448844364015e+03,1.213847054012764204e+01
9.891604471736698542e+03,1.213836072807433375e+01
9.891604494629034889e+03,1.213825091615251139e+01
9.891604517521371235e+03,1.213814110437090221e+01
9.891604540413705763e+03,1.213803129273824410e+01
9.891604563306042110e+03,1.213792148123708969e+01
9.891604586198376637e+03,1.213781166988490057e+01
9.891604609090712984e+03,1.213770185866422935e+01
9.891604631983047511e+03,1.213759204759253407e+01
9.891604654875383858e+03,1.213748223665236914e+01
9.891604677767718385e+03,1.213737242586118548e+01
9.891604700660054732e+03,1.213726261520155170e+01
9.891604723552391079e+03,1.213715280468218793e+01
9.891604746444725606e+03,1.213704299431183564e+01
9.891604769337061953e+03,1.213693318407304389e+01
9.891604792229396480e+03,1.213682337398327427e+01
9.891604815121732827e+03,1.213671356402508472e+01
9.891604838014067354e+03,1.213660375421592441e+01
9.891604860906403701e+03,1.213649394453835484e+01
9.891604883798738229e+03,1.213638413500982338e+01
9.891604906691074575e+03,1.213627432561290043e+01
9.891604929583409103e+03,1.213616451636503690e+01
9.891604952475745449e+03,1.213605470724878188e+01
9.891604975368081796e+03,1.213594489827287504e+01
9.891604998260416323e+03,1.213583508944604894e+01
9.891605021152752670e+03,1.213572528075086510e+01
9.891605044045087197e+03,1.213561547220475845e+01
