Time (BJD_TBD - 2450000), L_e/L_star (ppm)
1.063803027131858107e+04,3.578348181175545051e+01
1.063803029315409731e+04,3.578477499239743054e+01
1.063803031498961536e+04,3.578606818746145990e+01
1.063803033682513160e+04,3.578736139673137728e+01
1.063803035866064965e+04,3.578865462042205081e+01
1.063803038049616589e+04,3.578994785831731207e+01
1.063803040233168213e+04,3.579124111052427537e+01
1.063803042416720018e+04,3.579253437714997688e+01
1.063803044600271642e+04,3.579382765797834764e+01
1.063803046783823265e+04,3.579512095311643805e+01
1.063803048967375071e+04,3.579641426267131266e+01
1.063803051150926694e+04,3.579770758642688833e+01
1.063803053334478318e+04,3.579900092449022253e+01
1.063803055518030123e+04,3.580029427696838695e+01
1.063803057701581747e+04,3.580158764364525581e+01
1.063803059885133371e+04,3.580288102462795052e+01
1.063803062068685176e+04,3.580417442002350725e+01
1.063803064252236800e+04,3.580546782961580732e+01
1.063803066435788605e+04,3.580676125361969042e+01
1.063803068619340229e+04,3.580805469181900946e+01
1.063803070802891853e+04,3.580934814432085744e+01
1.063803072986443658e+04,3.581064161123231315e+01
1.063803075169995282e+04,3.581193509233725791e+01
1.063803077353546905e+04,3.581322858774274920e+01
1.063803079537098711e+04,3.581452209755589422e+01
1.063803081720650334e+04,3.581581562156053877e+01
1.063803083904201958e+04,3.581710915986379717e+01
1.063803086087753763e+04,3.581840271257273400e+01
1.063803088271305387e+04,3.581969627947121637e+01
1.063803090454857011e+04,3.582098986066633728e+01
1.063803092638408816e+04,3.582228345626519683e+01
1.063803094821960440e+04,3.582357706605160530e+01
1.063803097005512245e+04,3.582487069024046633e+01
1.063803099189063869e+04,3.582616432861558309e+01
1.063803101372615492e+04,3.582745798128404147e+01
1.063803103556167298e+04,3.582875164835299131e+01
1.063803105739718922e+04,3.583004532960622868e+01
1.063803107923270545e+04,3.583133902515086788e+01
1.063803110106822351e+04,3.583263273509400193e+01
1.063803112290373974e+04,3.583392645921946951e+01
1.063803114473925598e+04,3.583522019763437072e+01
1.063803116657477403e+04,3.583651395044582699e+01
1.063803118841029027e+04,3.583780771743762728e+01
1.063803121024580651e+04,3.583910149871690720e+01
1.063803123208132456e+04,3.584039529439078819e+01
1.063803125391684080e+04,3.584168910424303078e+01
1.063803127575235885e+04,3.584298292848858836e+01
1.063803129758787509e+04,3.584427676691120723e+01
1.063803131942339132e+04,3.584557061961803015e+01
1.063803134125890938e+04,3.584686448671617143e+01
1.063803136309442561e+04,3.584815836798942712e+01
1.063803138492994185e+04,3.584945226354491155e+01
1.063803140676545991e+04,3.585074617348976034e+01
1.063803142860097614e+04,3.585204009760774824e+01
1.063803145043649238e+04,3.585333403600602509e+01
1.063803147227201043e+04,3.585462798879170521e+01
1.063803149410752667e+04,3.585592195574854202e+01
1.063803151594304290e+04,3.585721593698369247e+01
1.063803153777856096e+04,3.585850993260428510e+01
