Time (BJD_TBD - 2450000), L_e/L_star (ppm)
7.261275127512751169e+03,1.223940999770998985e+02
7.261278127812781349e+03,1.223117401273763534e+02
7.261281128112811530e+03,1.222288239244255408e+02
7.261284128412841710e+03,1.221453521604107380e+02
7.261287128712870981e+03,1.220613256328285274e+02
7.261290129012901161e+03,1.219767451443990893e+02
7.261293129312931342e+03,1.218916115032113794e+02
7.261296129612961522e+03,1.218059255226136059e+02
7.261299129912991702e+03,1.217196880212309082e+02
7.261302130213020973e+03,1.216328998229840153e+02
7.261305130513051154e+03,1.215455617569757862e+02
7.261308130813081334e+03,1.214576746576412916e+02
7.261311131113111514e+03,1.213692393646346801e+02
7.261314131413141695e+03,1.212802567228474970e+02
7.261317131713170966e+03,1.211907275824277122e+02
7.261320132013201146e+03,1.211006527986628640e+02
7.261323132313231326e+03,1.210100332321349441e+02
7.261326132613261507e+03,1.209188697486034130e+02
7.261329132913291687e+03,1.208271632190243707e+02
7.261332133213320958e+03,1.207349145195700828e+02
7.261335133513351138e+03,1.206421245315085002e+02
7.261338133813381319e+03,1.205487941413628477e+02
7.261341134113411499e+03,1.204549242407912857e+02
7.261344134413441679e+03,1.203605157266064651e+02
7.261347134713470950e+03,1.202655695007954222e+02
7.261350135013501131e+03,1.201700864703963134e+02
7.261353135313531311e+03,1.200740675476617696e+02
7.261356135613561491e+03,1.199775136499356591e+02
7.261359135913591672e+03,1.198804256996728554e+02
7.261362136213620943e+03,1.197828046244601694e+02
7.261365136513651123e+03,1.196846513568888497e+02
7.261368136813681303e+03,1.195859668347233082e+02
7.261371137113711484e+03,1.194867520007739188e+02
7.261374137413741664e+03,1.193870078029176653e+02
7.261377137713770935e+03,1.192867351941192027e+02
7.261380138013801115e+03,1.191859351323005001e+02
7.261383138313831296e+03,1.190846085805135317e+02
7.261386138613861476e+03,1.189827565068102331e+02
7.261389138913891657e+03,1.188803798842629362e+02
7.261392139213921837e+03,1.187774796909556727e+02
7.261395139513951108e+03,1.186740569100058593e+02
7.261398139813981288e+03,1.185701125294294940e+02
7.261401140114011469e+03,1.184656475423197293e+02
7.261404140414041649e+03,1.183606629467123383e+02
7.261407140714071829e+03,1.182551597456071590e+02
7.261410141014101100e+03,1.181491389469911013e+02
7.261413141314131281e+03,1.180426015636993213e+02
7.261416141614161461e+03,1.179355486135989253e+02
7.261419141914191641e+03,1.178279811194504276e+02
7.261422142214221822e+03,1.177199001089301618e+02
7.261425142514251093e+03,1.176113066146535004e+02
7.261428142814281273e+03,1.175022016740332589e+02
7.261431143114311453e+03,1.173925863294670080e+02
7.261434143414341634e+03,1.172824616281958896e+02
7.261437143714371814e+03,1.171718286223272116e+02
7.261440144014401085e+03,1.170606883688584361e+02
7.261443144314431265e+03,1.169490419295318162e+02
7.261446144614461446e+03,1.168368903710267404e+02
7.261449144914491626e+03,1.167242347648148382e+02
7.261452145214521806e+03,1.166110761871830448e+02
7.261455145514551077e+03,1.164974157192583277e+02
7.261458145814581258e+03,1.163832544468590697e+02
7.261461146114611438e+03,1.162685934606916476e+02
7.261464146414641618e+03,1.161534338562019144e+02
7.261467146714671799e+03,1.160377767335997987e+02
7.261470147014701070e+03,1.159216231978834202e+02
7.261473147314731250e+03,1.158049743586879288e+02
7.261476147614761430e+03,1.156878313304859773e+02
7.261479147914791611e+03,1.155701952324366175e+02
7.261482148214821791e+03,1.154520671884093588e+02
7.261485148514851062e+03,1.153334483270098474e+02
7.261488148814881242e+03,1.152143397814248829e+02
7.261491149114911423e+03,1.150947426896273953e+02
7.261494149414941603e+03,1.149746581942219450e+02
7.261497149714971783e+03,1.148540874424696341e+02
7.261500150015001054e+03,1.147330315863138281e+02
7.261503150315031235e+03,1.146114917822224299e+02
7.261506150615061415e+03,1.144894691913967648e+02
7.261509150915091595e+03,1.143669649796141528e+02
7.261512151215121776e+03,1.142439803172530617e+02
7.261515151515151956e+03,1.141205163792820940e+02
7.261518151815181227e+03,1.139965743452865041e+02
7.261521152115211407e+03,1.138721553993062656e+02
7.261524152415241588e+03,1.137472607300503427e+02
7.261527152715271768e+03,1.136218915307351551e+02
7.261530153015301948e+03,1.134960489991107551e+02
7.261533153315331219e+03,1.133697343374875146e+02
7.261536153615361400e+03,1.132429487525716212e+02
7.261539153915391580e+03,1.131156934556831146e+02
7.261542154215421760e+03,1.129879696625913539e+02
7.261545154515451941e+03,1.128597785935415203e+02
7.261548154815481212e+03,1.127311214732823146e+02
7.261551155115511392e+03,1.126019995308977570e+02
7.261554155415541572e+03,1.124724140000296018e+02
7.261557155715571753e+03,1.123423661187098048e+02
7.261560156015601933e+03,1.122118571293874538e+02
7.261563156315631204e+03,1.120808882789566923e+02
7.261566156615661384e+03,1.119494608185859903e+02
7.261569156915691565e+03,1.118175760039442395e+02
7.261572157215721745e+03,1.116852350950302224e+02
7.261575157515751926e+03,1.115524393562000682e+02
7.261578157815781196e+03,1.114191900561958164e+02
7.261581158115811377e+03,1.112854884679713763e+02
7.261584158415841557e+03,1.111513358689229278e+02
7.261587158715871738e+03,1.110167335407151512e+02
7.261590159015901918e+03,1.108816827693092648e+02
7.261593159315931189e+03,1.107461848449920865e+02
7.261596159615961369e+03,1.106102410621990373e+02
7.261599159915991549e+03,1.104738527197484075e+02
7.261602160216021730e+03,1.103370211206646019e+02
7.261605160516051910e+03,1.101997475722069595e+02
7.261608160816081181e+03,1.100620333858988147e+02
7.261611161116111361e+03,1.099238798773479573e+02
7.261614161416141542e+03,1.097852883664845081e+02
7.261617161716171722e+03,1.096462601773816203e+02
7.261620162016201903e+03,1.095067966382842002e+02
7.261623162316231173e+03,1.093668990816390192e+02
7.261626162616261354e+03,1.092265688439119913e+02
7.261629162916291534e+03,1.090858072658298994e+02
7.261632163216321715e+03,1.089446156921981839e+02
7.261635163516351895e+03,1.088029954719303873e+02
7.261638163816382075e+03,1.086609479580350950e+02
7.261641164116411346e+03,1.085184745076466299e+02
7.261644164416441527e+03,1.083755764818388201e+02
7.261647164716471707e+03,1.082322552458714000e+02
7.261650165016501887e+03,1.080885121690041615e+02
7.261653165316532068e+03,1.079443486245271373e+02
7.261656165616561339e+03,1.077997659897912683e+02
7.261659165916591519e+03,1.076547656460198255e+02
7.261662166216621699e+03,1.075093489785582648e+02
7.261665166516651880e+03,1.073635173766857207e+02
7.261668166816682060e+03,1.072172722336454456e+02
7.261671167116711331e+03,1.070706149466761872e+02
7.261674167416741511e+03,1.069235469168208255e+02
7.261677167716771692e+03,1.067760695491795246e+02
7.261680168016801872e+03,1.066281842527189383e+02
7.261683168316832052e+03,1.064798924403029616e+02
7.261686168616861323e+03,1.063311955287243222e+02
7.261689168916891504e+03,1.061820949385107440e+02
7.261692169216921684e+03,1.060325920941817088e+02
7.261695169516951864e+03,1.058826884240548907e+02
7.261698169816982045e+03,1.057323853602771493e+02
7.261701170117011316e+03,1.055816843388569737e+02
7.261704170417041496e+03,1.054305867994676760e+02
7.261707170717071676e+03,1.052790941857077627e+02
7.261710171017101857e+03,1.051272079449046970e+02
7.261713171317132037e+03,1.049749295281464185e+02
7.261716171617161308e+03,1.048222603903141419e+02
7.261719171917191488e+03,1.046692019898828363e+02
7.261722172217221669e+03,1.045157557891853912e+02
7.261725172517251849e+03,1.043619232542132806e+02
7.261728172817282029e+03,1.042077058546490065e+02
7.261731173117311300e+03,1.040531050638989115e+02
